system,order,sequencer,num_clients,client_layout,replication_factor,run_idx,status,throughput_gbps,throughput_overlap_gbps,overlap_window_ms,timeseries_clients,attempts_used,first_attempt_pass,artifact_dir,commit
embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,1,ok,0.813281,0.101134704,62352,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg1024/trial_1,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,2,ok,0.810859,0.092904321,66655,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg1024/trial_2,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
embarcadero,5,EMBARCADERO,1,"c4(numa1)",1,3,ok,0.797344,0.094570741,65455,1,1,1,/home/domin/Embarcadero-sessions/eval-matrix/data/publication/throughput/20260708_e1_leg4_order5_cxl/embarcadero_order5_rf1_n1/run_20260708T132500Z_msg1024/trial_3,0528d4e938b9ae9638944b2d3eeed9c79e3c22cb
