message_size,total_message_size,num_threads_per_broker,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer_type,pub_bandwidth_mbps,sub_bandwidth_mbps,e2e_bandwidth_mbps
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.8734,0,97.8646
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.4086,0,97.3973
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.6443,0,97.6351
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.7545,0,97.7364
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.6495,0,97.6409
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.6623,0,97.6429
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.8303,0,97.8206
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.7778,0,97.7668
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.8414,0,97.8317
1024,10485760,4,1,5,0,false,1,0,0,EMBARCADERO,97.8012,0,97.7903
1024,104857600,4,1,5,0,false,1,0,0,EMBARCADERO,710.7677,0,710.7166
1024,10737418240,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,1979.5049,0,1979.4998
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,1073741824,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,10485760,4,1,0,0,false,1,0,0,EMBARCADERO,4.6118,0,4.6118
1024,10485760,4,1,0,0,false,1,0,0,EMBARCADERO,4.6991,0,4.6991
1024,10485760,4,1,0,0,false,1,0,0,EMBARCADERO,4.5826,0,4.5826
1024,104857600,4,1,0,0,false,1,0,0,EMBARCADERO,45.3653,0,45.3651
1024,104857600,4,1,0,0,false,1,0,0,EMBARCADERO,45.4211,0,45.4209
1024,524288000,4,1,0,0,false,1,0,0,EMBARCADERO,227.2992,0,227.2970
1024,1073741824,4,1,0,0,false,1,0,0,EMBARCADERO,418.9362,0,418.9342
1024,2147483648,4,1,0,0,false,1,0,0,EMBARCADERO,819.0613,0,819.0571
1024,10737418240,4,1,0,0,false,1,0,0,EMBARCADERO,2679.3384,0,2679.3220
1024,10737418240,4,1,0,0,false,1,0,0,EMBARCADERO,2666.6211,0,2666.6132
1024,10737418240,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,10737418240,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,10737418240,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,1,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,0,0,false,1,0,0,EMBARCADERO,667.3738,0,0.6852
1024,10737418240,4,1,0,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,0,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,8589934592,4,1,5,0,false,1,0,0,EMBARCADERO,0,0,0
1024,10737418240,4,1,0,0,false,1,0,0,EMBARCADERO,0,0,0
