Latency_us,CumulativeProbability,Metric
1484,0.00183486,append_submit_to_ack_batch_latency
1669,0.00366972,append_submit_to_ack_batch_latency
1671,0.00550459,append_submit_to_ack_batch_latency
1687,0.00733945,append_submit_to_ack_batch_latency
1689,0.00917431,append_submit_to_ack_batch_latency
1691,0.01100917,append_submit_to_ack_batch_latency
1700,0.01284404,append_submit_to_ack_batch_latency
1700,0.01467890,append_submit_to_ack_batch_latency
1701,0.01651376,append_submit_to_ack_batch_latency
1706,0.01834862,append_submit_to_ack_batch_latency
1711,0.02018349,append_submit_to_ack_batch_latency
1719,0.02201835,append_submit_to_ack_batch_latency
1719,0.02385321,append_submit_to_ack_batch_latency
1721,0.02568807,append_submit_to_ack_batch_latency
1722,0.02752294,append_submit_to_ack_batch_latency
1723,0.02935780,append_submit_to_ack_batch_latency
1725,0.03119266,append_submit_to_ack_batch_latency
1725,0.03302752,append_submit_to_ack_batch_latency
1726,0.03486239,append_submit_to_ack_batch_latency
1728,0.03669725,append_submit_to_ack_batch_latency
1729,0.03853211,append_submit_to_ack_batch_latency
1729,0.04036697,append_submit_to_ack_batch_latency
1729,0.04220183,append_submit_to_ack_batch_latency
1730,0.04403670,append_submit_to_ack_batch_latency
1732,0.04587156,append_submit_to_ack_batch_latency
1732,0.04770642,append_submit_to_ack_batch_latency
1732,0.04954128,append_submit_to_ack_batch_latency
1733,0.05137615,append_submit_to_ack_batch_latency
1734,0.05321101,append_submit_to_ack_batch_latency
1734,0.05504587,append_submit_to_ack_batch_latency
1735,0.05688073,append_submit_to_ack_batch_latency
1735,0.05871560,append_submit_to_ack_batch_latency
1736,0.06055046,append_submit_to_ack_batch_latency
1736,0.06238532,append_submit_to_ack_batch_latency
1736,0.06422018,append_submit_to_ack_batch_latency
1736,0.06605505,append_submit_to_ack_batch_latency
1737,0.06788991,append_submit_to_ack_batch_latency
1738,0.06972477,append_submit_to_ack_batch_latency
1738,0.07155963,append_submit_to_ack_batch_latency
1739,0.07339450,append_submit_to_ack_batch_latency
1739,0.07522936,append_submit_to_ack_batch_latency
1741,0.07706422,append_submit_to_ack_batch_latency
1742,0.07889908,append_submit_to_ack_batch_latency
1742,0.08073394,append_submit_to_ack_batch_latency
1743,0.08256881,append_submit_to_ack_batch_latency
1744,0.08440367,append_submit_to_ack_batch_latency
1745,0.08623853,append_submit_to_ack_batch_latency
1745,0.08807339,append_submit_to_ack_batch_latency
1745,0.08990826,append_submit_to_ack_batch_latency
1745,0.09174312,append_submit_to_ack_batch_latency
1748,0.09357798,append_submit_to_ack_batch_latency
1748,0.09541284,append_submit_to_ack_batch_latency
1749,0.09724771,append_submit_to_ack_batch_latency
1749,0.09908257,append_submit_to_ack_batch_latency
1751,0.10091743,append_submit_to_ack_batch_latency
1753,0.10275229,append_submit_to_ack_batch_latency
1753,0.10458716,append_submit_to_ack_batch_latency
1764,0.10642202,append_submit_to_ack_batch_latency
1765,0.10825688,append_submit_to_ack_batch_latency
1774,0.11009174,append_submit_to_ack_batch_latency
1792,0.11192661,append_submit_to_ack_batch_latency
1793,0.11376147,append_submit_to_ack_batch_latency
1795,0.11559633,append_submit_to_ack_batch_latency
1798,0.11743119,append_submit_to_ack_batch_latency
1799,0.11926606,append_submit_to_ack_batch_latency
1800,0.12110092,append_submit_to_ack_batch_latency
1801,0.12293578,append_submit_to_ack_batch_latency
1803,0.12477064,append_submit_to_ack_batch_latency
1804,0.12660550,append_submit_to_ack_batch_latency
1804,0.12844037,append_submit_to_ack_batch_latency
1805,0.13027523,append_submit_to_ack_batch_latency
1805,0.13211009,append_submit_to_ack_batch_latency
1806,0.13394495,append_submit_to_ack_batch_latency
1806,0.13577982,append_submit_to_ack_batch_latency
1806,0.13761468,append_submit_to_ack_batch_latency
1808,0.13944954,append_submit_to_ack_batch_latency
1809,0.14128440,append_submit_to_ack_batch_latency
1810,0.14311927,append_submit_to_ack_batch_latency
1811,0.14495413,append_submit_to_ack_batch_latency
1811,0.14678899,append_submit_to_ack_batch_latency
1811,0.14862385,append_submit_to_ack_batch_latency
1811,0.15045872,append_submit_to_ack_batch_latency
1811,0.15229358,append_submit_to_ack_batch_latency
1813,0.15412844,append_submit_to_ack_batch_latency
1813,0.15596330,append_submit_to_ack_batch_latency
1814,0.15779817,append_submit_to_ack_batch_latency
1814,0.15963303,append_submit_to_ack_batch_latency
1814,0.16146789,append_submit_to_ack_batch_latency
1815,0.16330275,append_submit_to_ack_batch_latency
1815,0.16513761,append_submit_to_ack_batch_latency
1815,0.16697248,append_submit_to_ack_batch_latency
1816,0.16880734,append_submit_to_ack_batch_latency
1816,0.17064220,append_submit_to_ack_batch_latency
1816,0.17247706,append_submit_to_ack_batch_latency
1817,0.17431193,append_submit_to_ack_batch_latency
1817,0.17614679,append_submit_to_ack_batch_latency
1818,0.17798165,append_submit_to_ack_batch_latency
1818,0.17981651,append_submit_to_ack_batch_latency
1818,0.18165138,append_submit_to_ack_batch_latency
1818,0.18348624,append_submit_to_ack_batch_latency
1819,0.18532110,append_submit_to_ack_batch_latency
1820,0.18715596,append_submit_to_ack_batch_latency
1820,0.18899083,append_submit_to_ack_batch_latency
1821,0.19082569,append_submit_to_ack_batch_latency
1822,0.19266055,append_submit_to_ack_batch_latency
1822,0.19449541,append_submit_to_ack_batch_latency
1822,0.19633028,append_submit_to_ack_batch_latency
1825,0.19816514,append_submit_to_ack_batch_latency
1831,0.20000000,append_submit_to_ack_batch_latency
1833,0.20183486,append_submit_to_ack_batch_latency
1835,0.20366972,append_submit_to_ack_batch_latency
1837,0.20550459,append_submit_to_ack_batch_latency
1839,0.20733945,append_submit_to_ack_batch_latency
1850,0.20917431,append_submit_to_ack_batch_latency
1858,0.21100917,append_submit_to_ack_batch_latency
1858,0.21284404,append_submit_to_ack_batch_latency
1858,0.21467890,append_submit_to_ack_batch_latency
1858,0.21651376,append_submit_to_ack_batch_latency
1861,0.21834862,append_submit_to_ack_batch_latency
1861,0.22018349,append_submit_to_ack_batch_latency
1862,0.22201835,append_submit_to_ack_batch_latency
1862,0.22385321,append_submit_to_ack_batch_latency
1863,0.22568807,append_submit_to_ack_batch_latency
1863,0.22752294,append_submit_to_ack_batch_latency
1863,0.22935780,append_submit_to_ack_batch_latency
1864,0.23119266,append_submit_to_ack_batch_latency
1866,0.23302752,append_submit_to_ack_batch_latency
1867,0.23486239,append_submit_to_ack_batch_latency
1867,0.23669725,append_submit_to_ack_batch_latency
1868,0.23853211,append_submit_to_ack_batch_latency
