message_size,trials,median_gbps,min_gbps,max_gbps,median_msgs_per_s
128,3,0.070494,0.064977,0.070671,591343.596
512,3,0.083637,0.081248,0.085253,175399.061
1024,3,0.094571,0.092904,0.101135,99164.609
4096,3,0.094597,0.092443,0.097205,24798.164
16384,3,0.094742,0.091560,0.104026,6208.982
