Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ack,1.02281e+07,5.231e+06,1.036e+07,1.04796e+07,1.048e+07,1.048e+07,137
append_send_to_deliver,152172,2488,138763,320882,326378,327069,1048576
monotonic_ordered_le_ack_le_deliver,,,,,,,0
