Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,337.891,12,343,935,975,975,137
append_send_to_ack,337.891,12,343,935,975,975,137
append_send_to_deliver,146142,2654,131102,314545,314875,315969,1048576
monotonic_ordered_le_ack_le_deliver,,,,,,,1
