mode,trial,sequencer,order,ack,rf,record_count,operation_count,value_size,workload,key_dist,zipf_theta,scan_len,batch_size,write_ratio,sync_interval,sync_barrier,runtime_sec,throughput_ops_sec,write_throughput_ops_sec,writes,reads,scans,rmws,publisher_batches,ops_per_publisher_batch,store_size,published_entries,applied_entries,valid,pub_p50_us,pub_p95_us,pub_p99_us,pub_p999_us,apply_p50_us,apply_p95_us,apply_p99_us,apply_p999_us,read_p50_us,read_p99_us,pub_threads,num_brokers,fifo_valid,fifo_mode,overwritten_keys,final_mismatch_keys,untouched_mismatch_keys,session_reorders,key_reorders,failed_checks,key_offset,state_digest
batch_ack,1,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,4096,ack,1.551736,322220,322220,500000,0,0,0,123,4065.04,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,batch_stop_and_wait,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
batch_ack,2,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,4096,ack,1.579493,316557,316557,500000,0,0,0,123,4065.04,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,batch_stop_and_wait,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
batch_ack,3,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,4096,ack,1.561962,320110,320110,500000,0,0,0,123,4065.04,500000,1050000,1050000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,batch_stop_and_wait,316109,0,0,0,0,none,0,1d3bc69f5cdeb2f0
pipe,1,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.825260,605869,605869,500000,0,0,0,1897,263.57,500000,1050000,1050000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,none,316109,2,0,8972,5,session_fifo_apply_order+session_fifo_final_value,0,9767bc6a4be8ba20
pipe,2,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.818025,611228,611228,500000,0,0,0,2001,249.88,500000,1050000,1050000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,none,316109,11,0,18444,16,session_fifo_apply_order+session_fifo_final_value,0,3c1481bfa8a36ca
pipe,3,SCALOG,1,1,1,500000,500000,100,,uniform,0.99,100,1,1,0,apply,0.812308,615530,615530,500000,0,0,0,1958,255.36,500000,1050000,1050000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,none,316109,4,0,13743,6,session_fifo_apply_order+session_fifo_final_value,0,2b27cb58337261ac
