message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
262144,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12782.8172,0,0
262144,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12819.9739,0,0
1048576,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12537.9922,0,0
1048576,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12306.4686,0,0
1048576,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,14317.9048,0,0
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,4648.9025,0,0
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,3502.5657,0,0
128,10737418240,3,1,1,0,false,1,0,0,SCALOG,3412.1006,0,0
256,10737418240,3,1,1,0,false,1,0,0,SCALOG,5685.8816,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,9817.7845,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,9512.3057,0,0
512,10737418240,3,1,1,0,false,1,0,0,SCALOG,10515.6970,0,0
1024,10737418240,3,1,1,0,false,1,0,0,SCALOG,10563.8337,0,0
1024,10737418240,3,1,1,0,false,1,0,0,SCALOG,10330.0838,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,12107.0832,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,12938.7724,0,0
4096,10737418240,3,1,1,0,false,1,0,0,SCALOG,11688.9515,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,11041.5866,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,12289.3163,0,0
16384,10737418240,3,1,1,0,false,1,0,0,SCALOG,13298.4466,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,11977.1781,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,12861.6699,0,0
65536,10737418240,3,1,1,0,false,1,0,0,SCALOG,11812.7432,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,12186.6003,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,12991.3635,0,0
262144,10737418240,3,1,1,0,false,1,0,0,SCALOG,12200.5328,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,12713.7689,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,12312.6520,0,0
1048576,10737418240,3,1,1,0,false,1,0,0,SCALOG,12524.7216,0,0
