target_mbps,trials,achieved_offered_load_mbps_mean,achieved_publish_goodput_mbps_mean,achieved_e2e_goodput_mbps_mean,publish_to_deliver_p50_us_mean,publish_to_deliver_p95_us_mean,publish_to_deliver_p99_us_mean,pub_submit_p50_us_mean,pub_submit_p95_us_mean,pub_submit_p99_us_mean,pub_ack_p50_us_mean,pub_ack_p95_us_mean,pub_ack_p99_us_mean,pub_ordered_p50_us_mean,pub_ordered_p95_us_mean,pub_ordered_p99_us_mean
10,5,10.000000,9.406800,9.406800,133316.600000,215316.000000,256124.400000,218526.200000,218810.400000,218994.200000,3915.200000,4237.600000,4471.400000,3915.200000,4237.600000,4471.400000
48,5,48.000000,45.121600,45.121600,53569.600000,115117.600000,507388.000000,60458.000000,61110.400000,61402.000000,4210.000000,4921.600000,5341.800000,4210.000000,4921.600000,5341.800000
68,5,68.000000,63.811600,63.810800,51918.000000,294748.800000,618834.400000,48707.600000,49595.600000,49844.400000,4433.400000,5485.400000,5691.600000,4433.400000,5485.400000,5691.600000
87,5,87.000000,81.536000,81.535600,67028.400000,1050521.200000,1126474.600000,43203.400000,46121.400000,49195.000000,4189.800000,5585.000000,6591.600000,4189.800000,5585.000000,6591.600000
