message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,sequencer,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
1024,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10646.5,0,7806.49
1024,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,8793.36,0,7407.15
1024,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10606.1,0,7227.08
4096,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9515.25,0,8432.64
4096,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9168.1,0,9029.85
4096,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9263.94,0,9174.07
4096,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,8749.22,0,8743.79
4096,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10269.9,0,8316.56
65536,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10114,0,8831.76
65536,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,12110.8,0,8679.46
65536,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,11617.7,0,8049.4
65536,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10878.8,0,8215.97
65536,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9825.94,0,8810.76
16384,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9607.88,0,8315.14
16384,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10300.9,0,9086.94
16384,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,11482.4,0,8484.47
16384,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9679.49,0,9326.79
16384,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10237.2,0,8724.78
262144,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10410.5,0,8368.77
262144,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10565,0,8446.4
262144,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,10387.6,0,8382.98
262144,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9600.7,0,8992.83
262144,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9819.82,0,9517.09
1048576,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,11765.5,0,8447.79
1048576,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,11024.9,0,9072.36
1048576,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,11908.6,0,8916.52
1048576,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,12562,0,8678.91
1048576,10737418240,3,0,1,0,0,1,0,0,EMBARCADERO,9656.16,0,9375.62
128,10737418240,3,0,2,0,0,1,0,0,CORFU,2256.44,0,2256.44
128,10737418240,3,0,2,0,0,1,0,0,CORFU,2263.63,0,2263.58
128,10737418240,3,0,2,0,0,1,0,0,CORFU,2234.83,0,2234.74
256,10737418240,3,0,2,0,0,1,0,0,CORFU,2583.32,0,2583.31
256,10737418240,3,0,2,0,0,1,0,0,CORFU,2721.45,0,2721.44
256,10737418240,3,0,2,0,0,1,0,0,CORFU,2721.03,0,2721.03
512,10737418240,3,0,2,0,0,1,0,0,CORFU,3053.35,0,3053.35
512,10737418240,3,0,2,0,0,1,0,0,CORFU,3008.36,0,3008.27
512,10737418240,3,0,2,0,0,1,0,0,CORFU,2948.24,0,2948.24
1024,10737418240,3,0,2,0,0,1,0,0,CORFU,3220.54,0,3220.53
1024,10737418240,3,0,2,0,0,1,0,0,CORFU,3234.94,0,3234.94
1024,10737418240,3,0,2,0,0,1,0,0,CORFU,3223,0,3222.99
4096,10737418240,3,0,2,0,0,1,0,0,CORFU,3404.18,0,3404.17
4096,10737418240,3,0,2,0,0,1,0,0,CORFU,3290.62,0,3290.61
4096,10737418240,3,0,2,0,0,1,0,0,CORFU,3313.15,0,3313.14
65536,10737418240,3,0,2,0,0,1,0,0,CORFU,3184.95,0,3184.92
65536,10737418240,3,0,2,0,0,1,0,0,CORFU,3383.88,0,3383.76
65536,10737418240,3,0,2,0,0,1,0,0,CORFU,3334.91,0,3334.91
16384,10737418240,3,0,2,0,0,1,0,0,CORFU,3379.84,0,3379.81
16384,10737418240,3,0,2,0,0,1,0,0,CORFU,3381.6,0,3381.6
16384,10737418240,3,0,2,0,0,1,0,0,CORFU,3334.36,0,3334.35
16384,10737418240,3,0,2,0,0,1,0,0,CORFU,3427.42,0,3427.31
16384,10737418240,3,0,2,0,0,1,0,0,CORFU,3364.5,0,3364.5
16384,10737418240,3,0,2,0,0,1,0,0,CORFU,3455.03,0,3455.03
262144,10737418240,3,0,2,0,0,1,0,0,CORFU,3243.75,0,3243.75
262144,10737418240,3,0,2,0,0,1,0,0,CORFU,3336.3,0,3336.3
262144,10737418240,3,0,2,0,0,1,0,0,CORFU,3399.44,0,3399.43
524288,10737418240,3,0,2,0,0,1,0,0,CORFU,3429.81,0,3429.71
524288,10737418240,3,0,2,0,0,1,0,0,CORFU,3473.13,0,3472.99
1048576,10737418240,3,0,2,0,0,1,0,0,CORFU,6674.01,0,6673.99
1048576,10737418240,3,0,2,0,0,1,0,0,CORFU,6562.64,0,6559.24
1048576,10737418240,3,0,2,0,0,1,0,0,CORFU,6473.82,0,6470.16
1048576,10737418240,3,0,2,0,0,1,0,0,CORFU,6573.51,0,6570.38
1048576,10737418240,3,0,2,0,0,1,0,0,CORFU,6584.41,0,6582.52
128,10737418240,3,1,1,0,0,1,0,0,SCALOG,4301.69,0,3663.92
128,10737418240,3,1,1,0,0,1,0,0,SCALOG,4820.12,0,3393.5
128,10737418240,3,1,1,0,0,1,0,0,SCALOG,4206.68,0,3912.33
128,10737418240,3,1,1,0,0,1,0,0,SCALOG,4805.59,0,3638.99
128,10737418240,3,1,1,0,0,1,0,0,SCALOG,4449.7,0,3716.03
512,10737418240,3,1,1,0,0,1,0,0,SCALOG,8551.44,0,6923.74
512,10737418240,3,1,1,0,0,1,0,0,SCALOG,6906.76,0,6685.1
512,10737418240,3,1,1,0,0,1,0,0,SCALOG,6768.3,0,6636.74
512,10737418240,3,1,1,0,0,1,0,0,SCALOG,6320.35,0,6165.42
512,10737418240,3,1,1,0,0,1,0,0,SCALOG,7987.79,0,7521.03
1024,10737418240,3,1,1,0,0,1,0,0,SCALOG,8878.62,0,7755.66
1024,10737418240,3,1,1,0,0,1,0,0,SCALOG,7022.16,0,6955.58
1024,10737418240,3,1,1,0,0,1,0,0,SCALOG,8742.79,0,7919.9
1024,10737418240,3,1,1,0,0,1,0,0,SCALOG,8732.22,0,8044.89
1024,10737418240,3,1,1,0,0,1,0,0,SCALOG,9107,0,7864.45
4096,10737418240,3,1,1,0,0,1,0,0,SCALOG,11169.3,0,8047.37
4096,10737418240,3,1,1,0,0,1,0,0,SCALOG,9180.78,0,8670.85
4096,10737418240,3,1,1,0,0,1,0,0,SCALOG,8952.72,0,8759.04
4096,10737418240,3,1,1,0,0,1,0,0,SCALOG,11373.1,0,8286.04
4096,10737418240,3,1,1,0,0,1,0,0,SCALOG,9454.46,0,8973.35
65536,10737418240,3,1,1,0,0,1,0,0,SCALOG,10431.9,0,8405.91
65536,10737418240,3,1,1,0,0,1,0,0,SCALOG,10982,0,8943.18
65536,10737418240,3,1,1,0,0,1,0,0,SCALOG,9392.15,0,9185.9
65536,10737418240,3,1,1,0,0,1,0,0,SCALOG,10093.2,0,8992.01
65536,10737418240,3,1,1,0,0,1,0,0,SCALOG,10436.7,0,8526.36
1048576,10737418240,3,1,1,0,0,1,0,0,SCALOG,10473.6,0,8960.48
1048576,10737418240,3,1,1,0,0,1,0,0,SCALOG,9969.23,0,8344.08
1048576,10737418240,3,1,1,0,0,1,0,0,SCALOG,10143.5,0,8994.53
1048576,10737418240,3,1,1,0,0,1,0,0,SCALOG,11074.8,0,8554.82
1048576,10737418240,3,1,1,0,0,1,0,0,SCALOG,9805.88,0,8529.97
