Latency_us,CumulativeProbability,Metric
2752,0.20550459,append_submit_to_ack_batch_latency
2753,0.20733945,append_submit_to_ack_batch_latency
2753,0.20917431,append_submit_to_ack_batch_latency
2753,0.21100917,append_submit_to_ack_batch_latency
2754,0.21284404,append_submit_to_ack_batch_latency
2754,0.21467890,append_submit_to_ack_batch_latency
2754,0.21651376,append_submit_to_ack_batch_latency
2754,0.21834862,append_submit_to_ack_batch_latency
2756,0.22018349,append_submit_to_ack_batch_latency
2756,0.22201835,append_submit_to_ack_batch_latency
2757,0.22385321,append_submit_to_ack_batch_latency
2757,0.22568807,append_submit_to_ack_batch_latency
2758,0.22752294,append_submit_to_ack_batch_latency
2758,0.22935780,append_submit_to_ack_batch_latency
2759,0.23119266,append_submit_to_ack_batch_latency
2759,0.23302752,append_submit_to_ack_batch_latency
2759,0.23486239,append_submit_to_ack_batch_latency
2760,0.23669725,append_submit_to_ack_batch_latency
2761,0.23853211,append_submit_to_ack_batch_latency
2761,0.24036697,append_submit_to_ack_batch_latency
2761,0.24220183,append_submit_to_ack_batch_latency
2761,0.24403670,append_submit_to_ack_batch_latency
2762,0.24587156,append_submit_to_ack_batch_latency
2764,0.24770642,append_submit_to_ack_batch_latency
2794,0.24954128,append_submit_to_ack_batch_latency
2803,0.25137615,append_submit_to_ack_batch_latency
2805,0.25321101,append_submit_to_ack_batch_latency
2805,0.25504587,append_submit_to_ack_batch_latency
2807,0.25688073,append_submit_to_ack_batch_latency
2807,0.25871560,append_submit_to_ack_batch_latency
2807,0.26055046,append_submit_to_ack_batch_latency
2808,0.26238532,append_submit_to_ack_batch_latency
2809,0.26422018,append_submit_to_ack_batch_latency
2810,0.26605505,append_submit_to_ack_batch_latency
2811,0.26788991,append_submit_to_ack_batch_latency
2811,0.26972477,append_submit_to_ack_batch_latency
2812,0.27155963,append_submit_to_ack_batch_latency
2812,0.27339450,append_submit_to_ack_batch_latency
2812,0.27522936,append_submit_to_ack_batch_latency
2813,0.27706422,append_submit_to_ack_batch_latency
2815,0.27889908,append_submit_to_ack_batch_latency
2815,0.28073394,append_submit_to_ack_batch_latency
2815,0.28256881,append_submit_to_ack_batch_latency
2815,0.28440367,append_submit_to_ack_batch_latency
2815,0.28623853,append_submit_to_ack_batch_latency
2816,0.28807339,append_submit_to_ack_batch_latency
2816,0.28990826,append_submit_to_ack_batch_latency
2817,0.29174312,append_submit_to_ack_batch_latency
2817,0.29357798,append_submit_to_ack_batch_latency
2817,0.29541284,append_submit_to_ack_batch_latency
2817,0.29724771,append_submit_to_ack_batch_latency
2818,0.29908257,append_submit_to_ack_batch_latency
2819,0.30091743,append_submit_to_ack_batch_latency
2819,0.30275229,append_submit_to_ack_batch_latency
2819,0.30458716,append_submit_to_ack_batch_latency
2819,0.30642202,append_submit_to_ack_batch_latency
2820,0.30825688,append_submit_to_ack_batch_latency
2820,0.31009174,append_submit_to_ack_batch_latency
2820,0.31192661,append_submit_to_ack_batch_latency
2821,0.31376147,append_submit_to_ack_batch_latency
2822,0.31559633,append_submit_to_ack_batch_latency
2822,0.31743119,append_submit_to_ack_batch_latency
2822,0.31926606,append_submit_to_ack_batch_latency
2822,0.32110092,append_submit_to_ack_batch_latency
2823,0.32293578,append_submit_to_ack_batch_latency
2823,0.32477064,append_submit_to_ack_batch_latency
2823,0.32660550,append_submit_to_ack_batch_latency
2824,0.32844037,append_submit_to_ack_batch_latency
2824,0.33027523,append_submit_to_ack_batch_latency
2824,0.33211009,append_submit_to_ack_batch_latency
2824,0.33394495,append_submit_to_ack_batch_latency
2824,0.33577982,append_submit_to_ack_batch_latency
2827,0.33761468,append_submit_to_ack_batch_latency
2827,0.33944954,append_submit_to_ack_batch_latency
2828,0.34128440,append_submit_to_ack_batch_latency
2828,0.34311927,append_submit_to_ack_batch_latency
2830,0.34495413,append_submit_to_ack_batch_latency
2831,0.34678899,append_submit_to_ack_batch_latency
2856,0.34862385,append_submit_to_ack_batch_latency
2871,0.35045872,append_submit_to_ack_batch_latency
2872,0.35229358,append_submit_to_ack_batch_latency
2873,0.35412844,append_submit_to_ack_batch_latency
2874,0.35596330,append_submit_to_ack_batch_latency
2876,0.35779817,append_submit_to_ack_batch_latency
2876,0.35963303,append_submit_to_ack_batch_latency
2879,0.36146789,append_submit_to_ack_batch_latency
2880,0.36330275,append_submit_to_ack_batch_latency
2881,0.36513761,append_submit_to_ack_batch_latency
2881,0.36697248,append_submit_to_ack_batch_latency
2881,0.36880734,append_submit_to_ack_batch_latency
2881,0.37064220,append_submit_to_ack_batch_latency
2881,0.37247706,append_submit_to_ack_batch_latency
2882,0.37431193,append_submit_to_ack_batch_latency
2883,0.37614679,append_submit_to_ack_batch_latency
2884,0.37798165,append_submit_to_ack_batch_latency
2884,0.37981651,append_submit_to_ack_batch_latency
2885,0.38165138,append_submit_to_ack_batch_latency
2886,0.38348624,append_submit_to_ack_batch_latency
2886,0.38532110,append_submit_to_ack_batch_latency
2886,0.38715596,append_submit_to_ack_batch_latency
2886,0.38899083,append_submit_to_ack_batch_latency
2886,0.39082569,append_submit_to_ack_batch_latency
2886,0.39266055,append_submit_to_ack_batch_latency
2886,0.39449541,append_submit_to_ack_batch_latency
2887,0.39633028,append_submit_to_ack_batch_latency
2887,0.39816514,append_submit_to_ack_batch_latency
2888,0.40000000,append_submit_to_ack_batch_latency
2888,0.40183486,append_submit_to_ack_batch_latency
2888,0.40366972,append_submit_to_ack_batch_latency
2889,0.40550459,append_submit_to_ack_batch_latency
2889,0.40733945,append_submit_to_ack_batch_latency
2890,0.40917431,append_submit_to_ack_batch_latency
2890,0.41100917,append_submit_to_ack_batch_latency
2890,0.41284404,append_submit_to_ack_batch_latency
2891,0.41467890,append_submit_to_ack_batch_latency
2891,0.41651376,append_submit_to_ack_batch_latency
2891,0.41834862,append_submit_to_ack_batch_latency
2891,0.42018349,append_submit_to_ack_batch_latency
2891,0.42201835,append_submit_to_ack_batch_latency
2892,0.42385321,append_submit_to_ack_batch_latency
2892,0.42568807,append_submit_to_ack_batch_latency
2892,0.42752294,append_submit_to_ack_batch_latency
