Latency_us,CumulativeProbability,Metric
2108,0.00183486,append_submit_to_ack_batch_latency
2589,0.00366972,append_submit_to_ack_batch_latency
2638,0.00550459,append_submit_to_ack_batch_latency
2639,0.00733945,append_submit_to_ack_batch_latency
2641,0.00917431,append_submit_to_ack_batch_latency
2642,0.01100917,append_submit_to_ack_batch_latency
2644,0.01284404,append_submit_to_ack_batch_latency
2647,0.01467890,append_submit_to_ack_batch_latency
2649,0.01651376,append_submit_to_ack_batch_latency
2652,0.01834862,append_submit_to_ack_batch_latency
2652,0.02018349,append_submit_to_ack_batch_latency
2652,0.02201835,append_submit_to_ack_batch_latency
2652,0.02385321,append_submit_to_ack_batch_latency
2652,0.02568807,append_submit_to_ack_batch_latency
2653,0.02752294,append_submit_to_ack_batch_latency
2654,0.02935780,append_submit_to_ack_batch_latency
2655,0.03119266,append_submit_to_ack_batch_latency
2657,0.03302752,append_submit_to_ack_batch_latency
2658,0.03486239,append_submit_to_ack_batch_latency
2658,0.03669725,append_submit_to_ack_batch_latency
2659,0.03853211,append_submit_to_ack_batch_latency
2663,0.04036697,append_submit_to_ack_batch_latency
2691,0.04220183,append_submit_to_ack_batch_latency
2704,0.04403670,append_submit_to_ack_batch_latency
2705,0.04587156,append_submit_to_ack_batch_latency
2706,0.04770642,append_submit_to_ack_batch_latency
2709,0.04954128,append_submit_to_ack_batch_latency
2714,0.05137615,append_submit_to_ack_batch_latency
2714,0.05321101,append_submit_to_ack_batch_latency
2715,0.05504587,append_submit_to_ack_batch_latency
2715,0.05688073,append_submit_to_ack_batch_latency
2717,0.05871560,append_submit_to_ack_batch_latency
2717,0.06055046,append_submit_to_ack_batch_latency
2718,0.06238532,append_submit_to_ack_batch_latency
2718,0.06422018,append_submit_to_ack_batch_latency
2718,0.06605505,append_submit_to_ack_batch_latency
2718,0.06788991,append_submit_to_ack_batch_latency
2719,0.06972477,append_submit_to_ack_batch_latency
2719,0.07155963,append_submit_to_ack_batch_latency
2719,0.07339450,append_submit_to_ack_batch_latency
2720,0.07522936,append_submit_to_ack_batch_latency
2720,0.07706422,append_submit_to_ack_batch_latency
2720,0.07889908,append_submit_to_ack_batch_latency
2721,0.08073394,append_submit_to_ack_batch_latency
2721,0.08256881,append_submit_to_ack_batch_latency
2722,0.08440367,append_submit_to_ack_batch_latency
2722,0.08623853,append_submit_to_ack_batch_latency
2722,0.08807339,append_submit_to_ack_batch_latency
2723,0.08990826,append_submit_to_ack_batch_latency
2724,0.09174312,append_submit_to_ack_batch_latency
