Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ack,308103,8913,311538,425107,425348,425348,137
append_send_to_deliver,156623,2687,144879,332434,338336,339986,1048576
monotonic_ordered_le_ack_le_deliver,,,,,,,0
