Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
4924,2.27528,2.27909,0,2.34432,6.89869
4929,2.32143,2.29912,0,2.28691,6.90746
4934,2.11449,2.20566,0,2.1719,6.49204
4939,2.33364,2.29836,0,2.29836,6.93035
4944,2.18258,2.1513,0,2.11449,6.44836
4949,2.00596,2.07767,0,2.11449,6.19812
4954,2.09656,2.02255,0,2.02255,6.14166
4959,2.14901,2.20642,0,2.20642,6.56185
4964,2.25182,2.20642,0,2.21806,6.67629
4969,2.18391,2.20013,0,2.10285,6.48689
4974,2.18353,2.12078,0,2.2438,6.54812
4980,2.15721,2.20642,0,2.18067,6.5443
4985,2.15225,2.17533,0,2.04372,6.37131
4990,2.40173,2.43301,0,2.51923,7.35397
4995,2.26383,2.19479,0,2.2049,6.66351
5000,2.2295,2.29836,0,2.23064,6.7585
5005,2.21786,2.21806,0,2.30942,6.74534
5010,2.0916,2.08225,0,2.01092,6.18477
5015,2.16103,2.14672,0,2.20642,6.51417
5020,2.15988,2.19479,0,2.20642,6.56109
5025,2.1719,2.11449,0,2.0237,6.31008
5030,2.24094,2.24113,0,2.38171,6.86378
5035,2.12593,2.15759,0,2.03037,6.3139
5041,2.13356,2.14024,0,2.20604,6.47984
5046,2.42863,2.39029,0,2.39029,7.20921
5051,2.26383,2.28672,0,2.20642,6.75697
5056,2.34432,2.39029,0,2.5053,7.23991
5061,2.24838,2.21806,0,2.18334,6.64978
5066,2.17667,2.19479,0,2.20642,6.57787
5071,2.40116,2.38457,0,2.29874,7.08447
5076,2.211,2.12021,0,2.20604,6.53725
5081,2.28233,2.41337,0,2.39029,7.08599
5086,2.3098,2.27528,0,2.20718,6.79226
5091,2.24342,2.20642,0,2.20566,6.6555
5097,2.44522,2.48222,0,2.52819,7.45564
5102,2.18334,2.14539,0,2.16045,6.48918
5107,2.28138,2.26746,0,2.29836,6.84719
5112,2.29244,2.29836,0,2.29836,6.88915
5117,2.2068,2.20642,0,2.20261,6.61583
5122,2.38991,2.39029,0,2.37999,7.16019
5127,2.25239,2.23122,0,2.22054,6.70414
5132,2.10304,2.18163,0,2.11449,6.39915
5137,2.21786,2.20642,0,2.20642,6.63071
5142,2.10361,2.11449,0,2.20642,6.42452
5147,2.40116,2.35004,0,2.29836,7.04956
5152,2.27642,2.24667,0,2.29836,6.82144
5158,2.19383,2.20642,0,2.21806,6.61831
5163,2.27528,2.29836,0,2.28672,6.86035
5168,2.17209,2.11449,0,2.11449,6.40106
5173,2.01111,2.12612,0,2.12002,6.25725
5178,2.19479,2.16751,0,2.10896,6.47125
5183,2.04563,2.04983,0,2.11449,6.20995
5188,2.20642,2.11449,0,2.11449,6.43539
5193,2.21786,2.29836,0,2.29836,6.81458
5198,2.07996,2.11449,0,2.02255,6.217
5203,2.33288,2.28901,0,2.39029,7.01218
5208,2.21748,2.19536,0,2.11449,6.52733
5213,2.18391,2.22683,0,2.20737,6.61812
5219,2.36721,2.39029,0,2.38934,7.14684
5224,2.11449,2.11449,0,2.20642,6.43539
5229,2.33288,2.29836,0,2.28691,6.91814
5234,2.26383,2.27737,0,2.2562,6.79741
5239,2.02255,2.12002,0,2.07615,6.21872
5244,2.41337,2.3138,0,2.39029,7.11746
5249,2.18334,2.11449,0,2.11449,6.41232
5254,2.11449,2.20642,0,2.20642,6.52733
5259,2.32201,2.29836,0,2.29836,6.91872
5264,2.22874,2.20642,0,2.16179,6.59695
5269,2.33288,2.29836,0,2.34299,6.97422
5274,2.2295,2.29836,0,2.20642,6.73428
5280,2.21825,2.20642,0,2.20642,6.63109
5285,2.43587,2.35443,0,2.48222,7.27253
5290,2.1719,2.18086,0,2.14252,6.49529
5295,2.18353,2.27947,0,2.24133,6.70433
5300,2.26059,2.20585,0,2.23541,6.70185
5305,2.07176,2.10342,0,2.11449,6.28967
5310,2.29836,2.2438,0,2.29836,6.84052
5315,2.11449,2.16904,0,2.12612,6.40965
5320,2.20642,2.20642,0,2.19479,6.60763
5325,2.29836,2.29568,0,2.29836,6.8924
5330,2.2625,2.24628,0,2.20642,6.7152
5335,2.2192,2.26116,0,2.2913,6.77166
5341,2.32143,2.23713,0,2.23389,6.79245
5346,2.13737,2.17571,0,2.09408,6.40717
5351,2.3098,2.29836,0,2.29874,6.90689
5356,2.25258,2.26135,0,2.3613,6.87523
5361,2.20642,2.25773,0,2.25811,6.72226
5366,2.45914,2.37598,0,2.37484,7.20997
5371,2.19498,2.20642,0,2.10743,6.50883
5376,2.15912,2.15302,0,2.20585,6.51798
5381,2.18468,2.25983,0,2.28195,6.72646
5386,2.13757,2.12612,0,2.03896,6.30264
5391,2.3283,2.23312,0,2.29836,6.85978
5396,2.22244,2.26002,0,2.29836,6.78082
5402,2.16045,2.20642,0,2.20642,6.5733
5407,2.37598,2.33822,0,2.29836,7.01256
5412,2.20928,2.19688,0,2.20642,6.61259
5417,2.3098,2.3222,0,2.29836,6.93035
5422,2.28691,2.25582,0,2.29836,6.84109
5427,2.12593,2.19479,0,2.20642,6.52714
5432,2.39029,2.39029,0,2.34432,7.1249
5437,2.20642,2.21348,0,2.16045,6.58035
5442,2.27909,2.19936,0,2.29836,6.77681
5447,2.21424,2.29836,0,2.29836,6.81095
5453,2.26383,2.21806,0,2.21691,6.6988
5458,2.20642,2.19479,0,2.21901,6.62022
5463,2.20642,2.20642,0,2.18334,6.59618
5468,2.14901,2.20642,0,2.21806,6.57349
5473,2.33612,2.26402,0,2.23255,6.8327
5478,2.08263,2.51656,0,2.31609,6.91528
5483,3.65982,3.12576,0,3.29666,10.0822
5488,2.95353,2.74811,0,2.89936,8.601
5493,3.09029,2.99435,0,3.30963,9.39426
5498,2.96574,2.57225,0,2.75803,8.29601
5503,3.19481,2.96555,0,3.2177,9.37805
5509,2.88448,2.87075,0,2.94189,8.69713
5514,3.27549,3.13263,0,3.5471,9.95522
5519,2.87285,2.66609,0,2.80418,8.34312
5524,3.03345,3.29037,0,3.39432,9.71813
5529,2.8616,2.59342,0,2.89555,8.35056
5534,3.298,3.09372,0,3.24421,9.63593
5539,3.03383,2.97394,0,2.86922,8.87699
5544,3.16811,3.03383,0,3.03383,9.23576
5549,3.09505,2.84996,0,2.93522,8.88023
5554,3.4338,3.30963,0,3.13244,9.87587
5559,3.34415,2.87838,0,2.94189,9.16443
5564,3.87478,3.28121,0,3.2177,10.3737
5570,3.4935,3.03383,0,3.08762,9.61494
5575,3.64628,3.12576,0,2.88811,9.66015
5580,3.16849,3.0201,0,3.03383,9.22241
5585,3.30887,3.13435,0,2.94189,9.38511
5590,3.30486,2.91538,0,2.94189,9.16214
5595,3.21159,2.91672,0,2.75803,8.88634
5600,3.12576,2.89879,0,2.94189,8.96645
5605,3.12576,2.94991,0,2.66609,8.74176
5610,3.12576,2.66609,0,2.66609,8.45795
5615,3.12576,2.84996,0,2.94189,8.91762
5620,3.14884,2.84996,0,2.66609,8.66489
5625,3.29819,2.94189,0,3.03383,9.27391
5631,3.12443,2.75803,0,2.66705,8.5495
5636,3.26366,3.22628,0,3.21045,9.70039
5641,3.16143,2.93331,0,2.94819,9.04293
5646,3.40157,3.2177,0,3.03383,9.65309
5651,3.30963,3.12576,0,3.17993,9.61533
5656,3.38001,2.94189,0,3.07159,9.3935
5661,3.23925,3.12576,0,3.03383,9.39884
5666,3.43609,3.03383,0,3.092,9.56192
5671,3.27511,3.07312,0,2.98386,9.33208
5676,3.20148,2.9026,0,2.93369,9.03778
5681,3.38955,2.96822,0,3.12576,9.48353
5686,3.07369,2.85263,0,2.75135,8.67767
5692,3.2177,2.95124,0,2.94857,9.11751
5697,3.04527,2.90356,0,3.00941,8.95824
5702,3.28655,2.99339,0,3.05824,9.33819
5707,3.21903,2.94914,0,3.1189,9.28707
5712,3.21636,3.15895,0,3.0407,9.41601
5717,3.1702,2.75803,0,2.94189,8.87012
5722,3.35712,3.04375,0,3.20492,9.60579
5727,3.15685,2.91824,0,2.67887,8.75397
5732,3.31707,3.04756,0,3.2177,9.58233
5737,3.08723,3.05977,0,2.85835,9.00536
5742,3.30963,3.00789,0,3.24001,9.55753
5747,3.03383,2.84996,0,2.81925,8.70304
5753,3.4935,3.12576,0,3.05996,9.67922
5758,3.2177,2.89478,0,2.7338,8.84628
5763,3.30963,3.14522,0,3.20721,9.66206
5768,3.30963,2.87762,0,3.05252,9.23977
5773,3.30963,3.12576,0,3.0838,9.5192
5778,3.03383,2.66609,0,2.60601,8.30593
5783,3.37334,3.12576,0,3.2177,9.7168
5788,3.10822,2.84996,0,2.66609,8.62427
5793,3.44734,3.22418,0,3.12576,9.79729
5798,3.21827,2.75154,0,2.80514,8.77495
5803,3.31154,3.29266,0,3.17059,9.77478
5808,3.21522,2.775,0,2.75803,8.74825
5814,3.2177,3.12576,0,3.32718,9.67064
5819,2.98615,2.75803,0,2.64854,8.39272
5824,3.26538,3.27682,0,3.32127,9.86347
5829,3.20225,2.88277,0,2.70061,8.78563
5834,3.39928,3.32851,0,3.63121,10.359
5839,3.1435,2.83108,0,2.65713,8.63171
5844,3.30963,3.3493,0,3.3186,9.97753
5849,3.03383,3.00217,0,2.60887,8.64487
5854,3.42941,3.36094,0,3.36685,10.1572
5859,3.27435,3.0344,0,2.84996,9.15871
5864,3.22514,2.97394,0,3.29418,9.49326
5869,3.32355,3.11813,0,2.77348,9.21516
5875,3.29571,3.12099,0,2.84996,9.26666
5880,3.03383,2.83031,0,3.03383,8.89797
5885,3.22514,2.97394,0,2.81544,9.01451
5890,3.11832,2.85034,0,2.64034,8.60901
5895,3.18279,3.12538,0,3.22285,9.53102
5900,3.2526,2.84996,0,2.99702,9.09958
5905,3.2177,3.10631,0,2.94189,9.2659
5910,3.20492,2.72503,0,2.84996,8.77991
5915,3.32241,2.99435,0,3.1374,9.45415
5920,3.1374,2.95353,0,2.90833,8.99925
5925,3.2177,3.03993,0,3.05576,9.31339
5931,3.28064,2.83222,0,2.84996,8.96282
5936,3.2299,3.03383,0,2.94189,9.20563
5941,3.10707,2.8635,0,2.94189,8.91247
5946,3.26538,3.12576,0,3.03383,9.42497
5951,3.28579,3.13454,0,3.12576,9.54609
5956,3.30963,3.01228,0,2.84996,9.17187
5961,3.2177,3.30887,0,3.12614,9.65271
5966,3.24974,2.93255,0,3.03345,9.21574
5971,3.27721,3.0426,0,2.88658,9.20639
5976,3.03421,3.0344,0,2.99721,9.06582
