Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
5220,2.04563,2.02255,1.98803,2.02904,8.08525
5225,2.06184,2.02255,2.02255,2.01607,8.12302
5231,1.96018,1.96705,2.00005,2.02255,7.94983
5236,1.83868,1.89419,1.86119,1.83926,7.43332
5241,1.94225,1.86596,1.93062,1.83811,7.57694
5246,1.93062,1.90334,1.93062,2.02255,7.78713
5251,1.82705,1.93062,1.93062,1.83868,7.52697
5256,1.83868,1.83868,1.76926,1.83868,7.28531
5261,1.94225,1.90468,1.90811,1.93062,7.68566
5266,1.91898,1.95656,1.96514,1.93062,7.7713
5271,1.93062,1.93062,1.97678,1.93062,7.76863
5277,1.93062,1.93062,1.93043,1.93062,7.72228
5282,1.98002,1.93062,1.93844,2.00043,7.8495
5287,2.08817,2.11449,2.02618,2.04468,8.27351
5292,2.01111,1.93062,1.93062,1.94778,7.82013
5297,1.91898,2.03419,2.05345,2.00539,8.01201
5302,1.93062,1.91898,1.9228,1.93062,7.70302
5307,1.85032,1.8074,1.86386,1.83868,7.36027
5312,1.90754,1.86996,1.88236,1.87988,7.53975
5317,2.05708,2.02255,2.03419,2.07329,8.1871
5323,1.91956,1.93062,1.86176,1.88179,7.59373
5328,1.9186,2.02255,1.99947,1.97945,7.92007
5333,1.94225,1.94225,2.01092,1.99146,7.88689
5338,2.034,1.91898,1.93062,1.87778,7.76138
5343,1.91917,1.96133,1.93062,2.01454,7.82566
5348,2.10285,2.08378,2.02312,2.11449,8.32424
5353,1.9537,1.96037,2.04506,1.93062,7.88975
5358,2.09789,2.13776,2.09141,2.11449,8.44154
5364,2.01607,1.96953,2.03419,2.02255,8.04234
5369,1.93062,1.93062,1.93062,1.91479,7.70664
5374,1.93062,1.97315,1.94206,1.94645,7.79228
5379,2.02255,1.98002,1.99947,1.93119,7.93324
5384,1.93062,1.93062,1.93939,1.93005,7.73067
5389,1.94225,1.97315,1.93348,1.99909,7.84798
5394,1.91898,1.88808,1.91708,1.86214,7.58629
5399,1.83868,1.83868,1.88656,1.93062,7.49454
5404,1.85032,1.93062,1.79272,1.83868,7.41234
5410,2.02255,1.96877,2.04563,2.02255,8.0595
5415,1.91898,1.89247,1.94206,1.93062,7.68414
5420,1.93062,2.02255,1.97296,1.93062,7.85675
5425,2.02255,1.95084,1.93157,2.0216,7.92656
5430,1.79214,1.81847,1.76086,1.7477,7.11918
5435,1.89686,1.93062,1.94225,1.86634,7.63607
5440,2.01092,2.00901,2.034,2.08683,8.14075
5445,1.93062,1.85223,1.90754,1.93062,7.621
5450,1.93062,1.99032,1.96514,1.93062,7.8167
5456,1.95427,1.96285,1.96533,1.93062,7.81307
5461,2.01054,1.99718,2.04525,1.37901,7.43198
5466,2.24838,2.30503,2.20642,0,6.75983
5471,2.3138,2.23675,2.20642,0,6.75697
5476,2.20642,2.19479,2.20642,0,6.60763
5481,2.13737,2.20642,2.21634,0,6.56013
5486,2.16045,2.13661,2.1965,0,6.49357
5491,2.25239,2.28786,2.20642,0,6.74667
5496,2.32773,2.29836,2.30999,0,6.93607
5501,2.36092,2.37865,2.39601,0,7.13558
5506,2.29836,2.29836,2.29263,0,6.88934
5511,2.20642,2.20642,2.24953,0,6.66237
5516,2.30389,2.20642,2.21024,0,6.72054
5521,2.39639,2.40192,2.4353,0,7.23362
5527,2.3098,2.37865,2.37865,0,7.06711
5532,2.27528,2.29836,2.29836,0,6.87199
5537,2.29836,2.29836,2.21806,0,6.81477
5542,2.33383,2.29836,2.37865,0,7.01084
5547,2.46983,2.39029,2.30999,0,7.1701
5552,2.27528,2.29836,2.37865,0,6.95229
5557,2.20642,2.29836,2.20642,0,6.7112
5562,2.20642,2.21806,2.20642,0,6.6309
5567,2.28767,2.19479,2.30999,0,6.79245
5572,2.30904,2.3138,2.28672,0,6.90956
5577,2.30999,2.37484,2.39029,0,7.07512
5582,2.41318,2.31342,2.29836,0,7.02496
5588,2.18353,2.28329,2.29836,0,6.76517
5593,2.37865,2.29836,2.29836,0,6.97536
5598,2.32143,2.3283,2.33192,0,6.98166
5603,2.36721,2.42653,2.40269,0,7.19643
5608,2.32143,2.33574,2.33917,0,6.99635
5613,2.27528,2.28672,2.21214,0,6.77414
5618,2.21806,2.20642,2.21462,0,6.6391
5623,2.28672,2.29836,2.19765,0,6.78272
5628,2.36778,2.3737,2.48222,0,7.2237
5633,2.32086,2.32658,2.29836,0,6.9458
5638,2.29836,2.25468,2.29836,0,6.85139
5644,2.30408,2.26898,2.29836,0,6.87141
5649,2.29263,2.34089,2.34432,0,6.97784
5654,2.41337,2.40917,2.35596,0,7.1785
5659,2.27528,2.20642,2.36721,0,6.84891
5664,2.27108,2.29836,2.14043,0,6.70986
5669,2.25677,2.22836,2.36053,0,6.84566
5674,2.36721,2.46029,2.40555,0,7.23305
5679,2.49386,2.39029,2.40021,0,7.28436
5684,2.32124,2.33021,2.28882,0,6.94027
5689,2.20642,2.21157,2.20604,0,6.62403
5695,2.19498,2.26135,2.29836,0,6.75468
5700,2.18334,2.20718,2.20642,0,6.59695
5705,2.29836,2.30465,2.29836,0,6.90136
5710,2.41337,2.2913,2.29168,0,6.99635
5715,1.99947,2.11449,2.12116,0,6.23512
5720,2.30999,2.29836,2.27547,0,6.88381
5725,2.29836,2.20718,2.24094,0,6.74648
5730,2.38667,2.43206,2.39029,0,7.20901
5735,2.38228,2.3632,2.37865,0,7.12414
5740,2.20642,2.28291,2.20642,0,6.69575
5745,2.2665,2.28081,2.20642,0,6.75373
5750,2.36473,2.22397,2.39029,0,6.97899
5756,2.29874,2.39029,2.29836,0,6.98738
5761,2.27509,2.29836,2.35462,0,6.92806
5766,2.29836,2.31056,2.33402,0,6.94294
5771,2.28672,2.29778,2.2131,0,6.7976
5776,2.24991,2.21214,2.30331,0,6.76537
5781,2.39277,2.36397,2.28672,0,7.04346
5786,2.26402,2.30732,2.31915,0,6.89049
5791,2.19479,2.20642,2.2522,0,6.6534
5796,2.29836,2.29702,2.25487,0,6.85024
5801,2.37885,2.29969,2.36721,0,7.04575
5806,2.32143,2.29836,2.3674,0,6.98719
5812,2.37865,2.48222,2.39716,0,7.25803
5817,2.29836,2.24247,2.22244,0,6.76327
5822,2.30999,2.3386,2.39029,0,7.03888
5827,2.20642,2.22206,2.20642,0,6.6349
5832,2.38609,2.29836,2.29836,0,6.9828
5837,2.29092,2.39029,2.29836,0,6.97956
5842,2.29836,2.29836,2.29836,0,6.89507
5847,2.20642,2.18983,2.20642,0,6.60267
5852,2.29836,2.22301,2.30999,0,6.83136
5857,2.41337,2.48222,2.39067,0,7.28626
5862,2.37885,2.29836,2.34394,0,7.02114
5867,2.20642,2.20642,2.24075,0,6.65359
5873,2.16408,2.20642,2.19135,0,6.56185
5878,2.24876,2.25773,2.2934,0,6.79989
5883,2.37865,2.43092,2.32735,0,7.13692
5888,2.39029,2.39029,2.38132,0,7.1619
5893,2.39029,2.39029,2.45743,0,7.23801
5898,2.27623,2.29836,2.24285,0,6.81744
5903,2.32048,2.29836,2.34413,0,6.96297
5908,2.30999,2.30999,2.33288,0,6.95286
5913,2.40173,2.31838,2.32735,0,7.04746
5919,2.36721,2.45056,2.3613,0,7.17907
5924,2.20642,2.20642,2.29836,0,6.7112
5929,2.29092,2.3262,2.20642,0,6.82354
5934,2.45571,2.36244,2.48222,0,7.30038
5939,2.36664,2.29836,2.21024,0,6.87523
5944,2.26402,2.29836,2.38647,0,6.94885
5949,2.20642,2.30999,2.29836,0,6.81477
5954,2.20642,2.28672,2.21806,0,6.7112
5959,2.42481,2.2068,2.28672,0,6.91833
5965,2.26383,2.38991,2.38628,0,7.04002
5970,2.58579,2.48222,2.39429,0,7.46231
5975,2.28672,2.29836,2.47784,0,7.06291
5980,2.29836,2.39029,2.30331,0,6.99196
5985,2.40192,2.39029,2.38972,0,7.18193
5990,2.37865,2.29836,2.29836,0,6.97536
5995,2.45209,2.48222,2.48222,0,7.41653
6000,2.32849,2.39925,2.39029,0,7.11803
6005,2.39029,2.38132,2.3674,0,7.13902
6011,2.40192,2.39029,2.33707,0,7.12929
6016,2.39029,2.32944,2.3941,0,7.11384
6021,2.39029,2.41966,2.37064,0,7.1806
6026,2.19479,2.16579,2.24094,0,6.60152
6031,2.20642,2.27852,2.25239,0,6.73733
6036,2.32143,2.20642,2.21786,0,6.74572
6041,2.36721,2.39029,2.39029,0,7.14779
6046,2.32143,2.35176,2.29836,0,6.97155
6051,2.16637,2.2047,2.20642,0,6.57749
6057,2.19231,2.1553,2.20642,0,6.55403
6062,2.27203,2.26116,2.26479,0,6.79798
6067,2.26383,2.33498,2.23999,0,6.8388
6072,2.42481,2.29836,2.45972,0,7.18288
6077,2.1719,2.38075,2.22893,0,6.78158
6082,2.29836,2.21596,2.22607,0,6.74038
6087,2.29836,2.21634,2.29034,0,6.80504
6092,2.23026,2.28844,2.19479,0,6.71349
6097,2.30904,2.29836,2.40192,0,7.00932
6103,2.27547,2.29836,2.20776,0,6.78158
6108,2.28672,2.22664,2.30846,0,6.82182
6113,2.2295,2.27814,2.18334,0,6.69098
6118,2.43683,2.40192,2.5053,0,7.34406
6123,2.42424,2.47059,2.39525,0,7.29008
6128,2.29836,2.20642,2.2913,0,6.79607
6133,2.32124,2.41394,2.36931,0,7.10449
6138,2.46067,2.36664,2.30999,0,7.1373
6143,2.90947,2.66609,3.11413,0,8.68969
6149,3.61652,3.67737,3.4935,0,10.7874
6154,2.56252,2.66609,2.66323,0,7.89185
6159,3.20606,3.09429,3.14026,0,9.44061
6164,3.03345,3.15723,3.04337,0,9.23405
6169,3.04585,2.94189,2.89974,0,8.88748
6174,2.94247,2.83566,2.68726,0,8.46539
6179,3.2402,3.14007,3.30944,0,9.68971
6184,3.29857,3.2177,3.40157,0,9.91783
6189,2.92988,3.03383,2.95353,0,8.91724
6195,3.04546,2.81334,2.74639,0,8.60519
6200,3.02219,3.16238,3.39661,0,9.58118
6205,3.34435,3.2177,3.23429,0,9.79633
6210,3.20339,2.84996,3.02219,0,9.07555
6215,3.02505,2.84996,2.94876,0,8.82378
6220,3.1601,3.4832,3.30276,0,9.94606
6225,3.35751,3.03822,3.58543,0,9.98116
6230,2.75269,2.94781,2.8616,0,8.56209
6235,2.85339,2.84996,2.94189,0,8.64525
6241,3.34415,3.0077,3.54328,0,9.89513
6246,2.99931,2.78416,3.30524,0,9.08871
6251,2.76928,2.84996,2.73361,0,8.35285
6256,3.02258,3.03383,2.90928,0,8.96568
6261,3.40157,3.57075,3.86124,0,10.8335
6266,3.03383,2.95658,3.48415,0,9.47456
6271,2.94189,2.94228,2.85931,0,8.74348
6276,2.94189,2.96211,3.14293,0,9.04694
6281,3.40157,3.28789,3.6602,0,10.3497
6287,2.95353,2.72427,2.952,0,8.6298
6292,2.96021,2.79293,3.00121,0,8.75435
6297,3.1147,3.06644,2.9644,0,9.14555
6302,3.38268,3.27702,3.95317,0,10.6129
6307,2.84996,2.66609,2.84996,0,8.36601
6312,2.95353,2.75803,2.9026,0,8.61416
6317,3.21846,3.42789,3.62473,0,10.2711
6322,2.83756,2.63977,3.03383,0,8.51116
6328,2.64053,2.48222,2.55508,0,7.67784
6333,2.69165,2.57416,2.77081,0,8.03661
6338,3.12119,3.08037,3.40786,0,9.60941
6343,2.7626,2.66819,2.94189,0,8.37269
6348,2.75803,2.27985,2.62527,0,7.66315
6353,2.6228,2.81982,2.70691,0,8.14953
6358,2.84328,2.48222,3.03383,0,8.35934
6363,2.808,2.91557,2.985,0,8.70857
6368,2.4231,2.60048,2.70138,0,7.72495
6374,2.8532,2.67353,2.8635,0,8.39024
6379,2.97279,2.81982,3.71876,0,9.51138
6384,2.97852,3.14846,3.37372,0,9.50069
6389,2.47059,2.29836,2.65255,0,7.42149
6394,2.87895,2.94189,3.19157,0,9.01241
6399,2.87228,2.90966,3.3062,0,9.08813
6404,2.98252,2.93484,2.97146,0,8.88882
6409,2.63901,2.46964,2.36301,0,7.47166
6414,2.78511,2.74696,2.87724,0,8.40931
6420,2.66609,2.59838,2.77538,0,8.03986
6425,2.94189,2.79675,2.78091,0,8.51955
6430,2.66609,2.57416,2.53391,0,7.77416
6435,2.66609,2.57416,2.51083,0,7.75108
6440,3.03383,3.12576,3.09715,0,9.25674
6445,3.1374,3.03383,3.12576,0,9.29699
6450,2.83833,2.8616,2.84996,0,8.54988
6455,2.7586,2.65446,2.59018,0,8.00323
6460,2.84939,2.75803,2.93751,0,8.54492
6466,3.12576,2.76966,2.89612,0,8.79154
6471,3.30963,2.93026,2.79293,0,9.03282
6476,2.79789,2.57416,2.56462,0,7.93667
6481,3.18966,2.75803,2.73361,0,8.6813
6486,3.38974,2.84996,2.71091,0,8.95061
6491,2.94189,2.69394,2.74658,0,8.38242
6496,2.65141,2.63824,2.48203,0,7.77168
6501,2.77271,2.77271,2.75803,0,8.30345
6506,2.84996,2.83527,2.8616,0,8.54683
6512,2.94189,2.75841,2.71988,0,8.42018
6517,2.75803,2.66571,2.53048,0,7.95422
6522,2.8616,2.57416,2.66972,0,8.10547
