Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,299.213,0,275,1064,3437,3437,545
append_send_to_ack,299.213,0,275,1064,3437,3437,545
append_send_to_deliver,1.07761e+06,2161,1.20842e+06,2.84219e+06,2.8576e+06,2.9876e+06,4198158
monotonic_ordered_le_ack_le_deliver,,,,,,,1
