Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,359.02,99,354,626,653,653,545
append_send_to_ack,359.02,99,354,626,653,653,545
append_send_to_deliver,64984.9,1118,3159,495353,803939,816442,4461111
monotonic_ordered_le_ack_le_deliver,,,,,,,1
