Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,358.246,76,313,683,1200,1200,545
append_send_to_ack,358.246,76,313,683,1200,1200,545
append_send_to_deliver,275017,1807,241952,1.01392e+06,1.05192e+06,1.05654e+06,4195639
monotonic_ordered_le_ack_le_deliver,,,,,,,1
