Latency_us,CumulativeProbability,Metric
1419,0.00183486,append_submit_to_ack_batch_latency
1551,0.00366972,append_submit_to_ack_batch_latency
1565,0.00550459,append_submit_to_ack_batch_latency
1566,0.00733945,append_submit_to_ack_batch_latency
1668,0.00917431,append_submit_to_ack_batch_latency
1673,0.01100917,append_submit_to_ack_batch_latency
1678,0.01284404,append_submit_to_ack_batch_latency
1679,0.01467890,append_submit_to_ack_batch_latency
1694,0.01651376,append_submit_to_ack_batch_latency
1699,0.01834862,append_submit_to_ack_batch_latency
1701,0.02018349,append_submit_to_ack_batch_latency
1702,0.02201835,append_submit_to_ack_batch_latency
1705,0.02385321,append_submit_to_ack_batch_latency
1710,0.02568807,append_submit_to_ack_batch_latency
1712,0.02752294,append_submit_to_ack_batch_latency
1714,0.02935780,append_submit_to_ack_batch_latency
1714,0.03119266,append_submit_to_ack_batch_latency
1716,0.03302752,append_submit_to_ack_batch_latency
1717,0.03486239,append_submit_to_ack_batch_latency
1718,0.03669725,append_submit_to_ack_batch_latency
1723,0.03853211,append_submit_to_ack_batch_latency
1726,0.04036697,append_submit_to_ack_batch_latency
1729,0.04220183,append_submit_to_ack_batch_latency
1730,0.04403670,append_submit_to_ack_batch_latency
1732,0.04587156,append_submit_to_ack_batch_latency
1737,0.04770642,append_submit_to_ack_batch_latency
1740,0.04954128,append_submit_to_ack_batch_latency
1743,0.05137615,append_submit_to_ack_batch_latency
1746,0.05321101,append_submit_to_ack_batch_latency
1747,0.05504587,append_submit_to_ack_batch_latency
1748,0.05688073,append_submit_to_ack_batch_latency
1752,0.05871560,append_submit_to_ack_batch_latency
1756,0.06055046,append_submit_to_ack_batch_latency
1772,0.06238532,append_submit_to_ack_batch_latency
1776,0.06422018,append_submit_to_ack_batch_latency
1778,0.06605505,append_submit_to_ack_batch_latency
1781,0.06788991,append_submit_to_ack_batch_latency
1782,0.06972477,append_submit_to_ack_batch_latency
1783,0.07155963,append_submit_to_ack_batch_latency
1784,0.07339450,append_submit_to_ack_batch_latency
1786,0.07522936,append_submit_to_ack_batch_latency
1790,0.07706422,append_submit_to_ack_batch_latency
1791,0.07889908,append_submit_to_ack_batch_latency
1792,0.08073394,append_submit_to_ack_batch_latency
1793,0.08256881,append_submit_to_ack_batch_latency
1793,0.08440367,append_submit_to_ack_batch_latency
1794,0.08623853,append_submit_to_ack_batch_latency
1794,0.08807339,append_submit_to_ack_batch_latency
1795,0.08990826,append_submit_to_ack_batch_latency
1797,0.09174312,append_submit_to_ack_batch_latency
1797,0.09357798,append_submit_to_ack_batch_latency
1797,0.09541284,append_submit_to_ack_batch_latency
1799,0.09724771,append_submit_to_ack_batch_latency
1799,0.09908257,append_submit_to_ack_batch_latency
1800,0.10091743,append_submit_to_ack_batch_latency
1800,0.10275229,append_submit_to_ack_batch_latency
1803,0.10458716,append_submit_to_ack_batch_latency
1804,0.10642202,append_submit_to_ack_batch_latency
1808,0.10825688,append_submit_to_ack_batch_latency
1808,0.11009174,append_submit_to_ack_batch_latency
1809,0.11192661,append_submit_to_ack_batch_latency
1810,0.11376147,append_submit_to_ack_batch_latency
1811,0.11559633,append_submit_to_ack_batch_latency
1813,0.11743119,append_submit_to_ack_batch_latency
1813,0.11926606,append_submit_to_ack_batch_latency
1815,0.12110092,append_submit_to_ack_batch_latency
1818,0.12293578,append_submit_to_ack_batch_latency
1819,0.12477064,append_submit_to_ack_batch_latency
1826,0.12660550,append_submit_to_ack_batch_latency
1830,0.12844037,append_submit_to_ack_batch_latency
1830,0.13027523,append_submit_to_ack_batch_latency
1831,0.13211009,append_submit_to_ack_batch_latency
1833,0.13394495,append_submit_to_ack_batch_latency
1834,0.13577982,append_submit_to_ack_batch_latency
1835,0.13761468,append_submit_to_ack_batch_latency
1842,0.13944954,append_submit_to_ack_batch_latency
1842,0.14128440,append_submit_to_ack_batch_latency
1842,0.14311927,append_submit_to_ack_batch_latency
1843,0.14495413,append_submit_to_ack_batch_latency
1844,0.14678899,append_submit_to_ack_batch_latency
1844,0.14862385,append_submit_to_ack_batch_latency
1844,0.15045872,append_submit_to_ack_batch_latency
1845,0.15229358,append_submit_to_ack_batch_latency
1845,0.15412844,append_submit_to_ack_batch_latency
1845,0.15596330,append_submit_to_ack_batch_latency
1846,0.15779817,append_submit_to_ack_batch_latency
1846,0.15963303,append_submit_to_ack_batch_latency
1846,0.16146789,append_submit_to_ack_batch_latency
1848,0.16330275,append_submit_to_ack_batch_latency
1849,0.16513761,append_submit_to_ack_batch_latency
1849,0.16697248,append_submit_to_ack_batch_latency
1849,0.16880734,append_submit_to_ack_batch_latency
1849,0.17064220,append_submit_to_ack_batch_latency
1849,0.17247706,append_submit_to_ack_batch_latency
1850,0.17431193,append_submit_to_ack_batch_latency
1850,0.17614679,append_submit_to_ack_batch_latency
1851,0.17798165,append_submit_to_ack_batch_latency
1852,0.17981651,append_submit_to_ack_batch_latency
1852,0.18165138,append_submit_to_ack_batch_latency
1853,0.18348624,append_submit_to_ack_batch_latency
1853,0.18532110,append_submit_to_ack_batch_latency
1853,0.18715596,append_submit_to_ack_batch_latency
1853,0.18899083,append_submit_to_ack_batch_latency
1853,0.19082569,append_submit_to_ack_batch_latency
1854,0.19266055,append_submit_to_ack_batch_latency
1854,0.19449541,append_submit_to_ack_batch_latency
1854,0.19633028,append_submit_to_ack_batch_latency
1855,0.19816514,append_submit_to_ack_batch_latency
1855,0.20000000,append_submit_to_ack_batch_latency
1855,0.20183486,append_submit_to_ack_batch_latency
1856,0.20366972,append_submit_to_ack_batch_latency
1856,0.20550459,append_submit_to_ack_batch_latency
1856,0.20733945,append_submit_to_ack_batch_latency
1857,0.20917431,append_submit_to_ack_batch_latency
1857,0.21100917,append_submit_to_ack_batch_latency
1858,0.21284404,append_submit_to_ack_batch_latency
1858,0.21467890,append_submit_to_ack_batch_latency
1858,0.21651376,append_submit_to_ack_batch_latency
1858,0.21834862,append_submit_to_ack_batch_latency
1858,0.22018349,append_submit_to_ack_batch_latency
1859,0.22201835,append_submit_to_ack_batch_latency
1859,0.22385321,append_submit_to_ack_batch_latency
1859,0.22568807,append_submit_to_ack_batch_latency
1859,0.22752294,append_submit_to_ack_batch_latency
1859,0.22935780,append_submit_to_ack_batch_latency
1859,0.23119266,append_submit_to_ack_batch_latency
1859,0.23302752,append_submit_to_ack_batch_latency
1859,0.23486239,append_submit_to_ack_batch_latency
1860,0.23669725,append_submit_to_ack_batch_latency
1860,0.23853211,append_submit_to_ack_batch_latency
1860,0.24036697,append_submit_to_ack_batch_latency
1860,0.24220183,append_submit_to_ack_batch_latency
1860,0.24403670,append_submit_to_ack_batch_latency
1860,0.24587156,append_submit_to_ack_batch_latency
1860,0.24770642,append_submit_to_ack_batch_latency
1860,0.24954128,append_submit_to_ack_batch_latency
1860,0.25137615,append_submit_to_ack_batch_latency
1861,0.25321101,append_submit_to_ack_batch_latency
1861,0.25504587,append_submit_to_ack_batch_latency
1861,0.25688073,append_submit_to_ack_batch_latency
1861,0.25871560,append_submit_to_ack_batch_latency
1861,0.26055046,append_submit_to_ack_batch_latency
1861,0.26238532,append_submit_to_ack_batch_latency
1862,0.26422018,append_submit_to_ack_batch_latency
1862,0.26605505,append_submit_to_ack_batch_latency
1862,0.26788991,append_submit_to_ack_batch_latency
1862,0.26972477,append_submit_to_ack_batch_latency
1864,0.27155963,append_submit_to_ack_batch_latency
1864,0.27339450,append_submit_to_ack_batch_latency
1864,0.27522936,append_submit_to_ack_batch_latency
1865,0.27706422,append_submit_to_ack_batch_latency
1865,0.27889908,append_submit_to_ack_batch_latency
1865,0.28073394,append_submit_to_ack_batch_latency
1865,0.28256881,append_submit_to_ack_batch_latency
1865,0.28440367,append_submit_to_ack_batch_latency
1865,0.28623853,append_submit_to_ack_batch_latency
1866,0.28807339,append_submit_to_ack_batch_latency
1866,0.28990826,append_submit_to_ack_batch_latency
1867,0.29174312,append_submit_to_ack_batch_latency
1867,0.29357798,append_submit_to_ack_batch_latency
1867,0.29541284,append_submit_to_ack_batch_latency
1867,0.29724771,append_submit_to_ack_batch_latency
1867,0.29908257,append_submit_to_ack_batch_latency
1868,0.30091743,append_submit_to_ack_batch_latency
1868,0.30275229,append_submit_to_ack_batch_latency
1868,0.30458716,append_submit_to_ack_batch_latency
1868,0.30642202,append_submit_to_ack_batch_latency
1868,0.30825688,append_submit_to_ack_batch_latency
1869,0.31009174,append_submit_to_ack_batch_latency
1869,0.31192661,append_submit_to_ack_batch_latency
1870,0.31376147,append_submit_to_ack_batch_latency
1870,0.31559633,append_submit_to_ack_batch_latency
1870,0.31743119,append_submit_to_ack_batch_latency
1870,0.31926606,append_submit_to_ack_batch_latency
1870,0.32110092,append_submit_to_ack_batch_latency
1871,0.32293578,append_submit_to_ack_batch_latency
1872,0.32477064,append_submit_to_ack_batch_latency
1872,0.32660550,append_submit_to_ack_batch_latency
1872,0.32844037,append_submit_to_ack_batch_latency
1872,0.33027523,append_submit_to_ack_batch_latency
1873,0.33211009,append_submit_to_ack_batch_latency
1875,0.33394495,append_submit_to_ack_batch_latency
1875,0.33577982,append_submit_to_ack_batch_latency
1875,0.33761468,append_submit_to_ack_batch_latency
1876,0.33944954,append_submit_to_ack_batch_latency
1876,0.34128440,append_submit_to_ack_batch_latency
1877,0.34311927,append_submit_to_ack_batch_latency
1879,0.34495413,append_submit_to_ack_batch_latency
1880,0.34678899,append_submit_to_ack_batch_latency
1881,0.34862385,append_submit_to_ack_batch_latency
1881,0.35045872,append_submit_to_ack_batch_latency
1884,0.35229358,append_submit_to_ack_batch_latency
1884,0.35412844,append_submit_to_ack_batch_latency
1887,0.35596330,append_submit_to_ack_batch_latency
1889,0.35779817,append_submit_to_ack_batch_latency
1889,0.35963303,append_submit_to_ack_batch_latency
1890,0.36146789,append_submit_to_ack_batch_latency
1892,0.36330275,append_submit_to_ack_batch_latency
1906,0.36513761,append_submit_to_ack_batch_latency
1911,0.36697248,append_submit_to_ack_batch_latency
1913,0.36880734,append_submit_to_ack_batch_latency
1917,0.37064220,append_submit_to_ack_batch_latency
1918,0.37247706,append_submit_to_ack_batch_latency
1919,0.37431193,append_submit_to_ack_batch_latency
1920,0.37614679,append_submit_to_ack_batch_latency
1921,0.37798165,append_submit_to_ack_batch_latency
1922,0.37981651,append_submit_to_ack_batch_latency
1923,0.38165138,append_submit_to_ack_batch_latency
1923,0.38348624,append_submit_to_ack_batch_latency
1924,0.38532110,append_submit_to_ack_batch_latency
1925,0.38715596,append_submit_to_ack_batch_latency
1925,0.38899083,append_submit_to_ack_batch_latency
1926,0.39082569,append_submit_to_ack_batch_latency
1926,0.39266055,append_submit_to_ack_batch_latency
1926,0.39449541,append_submit_to_ack_batch_latency
1926,0.39633028,append_submit_to_ack_batch_latency
1927,0.39816514,append_submit_to_ack_batch_latency
1927,0.40000000,append_submit_to_ack_batch_latency
1927,0.40183486,append_submit_to_ack_batch_latency
1928,0.40366972,append_submit_to_ack_batch_latency
1929,0.40550459,append_submit_to_ack_batch_latency
1929,0.40733945,append_submit_to_ack_batch_latency
1929,0.40917431,append_submit_to_ack_batch_latency
1930,0.41100917,append_submit_to_ack_batch_latency
1931,0.41284404,append_submit_to_ack_batch_latency
1931,0.41467890,append_submit_to_ack_batch_latency
1932,0.41651376,append_submit_to_ack_batch_latency
1932,0.41834862,append_submit_to_ack_batch_latency
1932,0.42018349,append_submit_to_ack_batch_latency
1932,0.42201835,append_submit_to_ack_batch_latency
1932,0.42385321,append_submit_to_ack_batch_latency
1932,0.42568807,append_submit_to_ack_batch_latency
1933,0.42752294,append_submit_to_ack_batch_latency
1933,0.42935780,append_submit_to_ack_batch_latency
1934,0.43119266,append_submit_to_ack_batch_latency
1934,0.43302752,append_submit_to_ack_batch_latency
1934,0.43486239,append_submit_to_ack_batch_latency
1934,0.43669725,append_submit_to_ack_batch_latency
1934,0.43853211,append_submit_to_ack_batch_latency
1935,0.44036697,append_submit_to_ack_batch_latency
1935,0.44220183,append_submit_to_ack_batch_latency
1935,0.44403670,append_submit_to_ack_batch_latency
1935,0.44587156,append_submit_to_ack_batch_latency
1935,0.44770642,append_submit_to_ack_batch_latency
1935,0.44954128,append_submit_to_ack_batch_latency
1936,0.45137615,append_submit_to_ack_batch_latency
1936,0.45321101,append_submit_to_ack_batch_latency
1936,0.45504587,append_submit_to_ack_batch_latency
1936,0.45688073,append_submit_to_ack_batch_latency
1936,0.45871560,append_submit_to_ack_batch_latency
1937,0.46055046,append_submit_to_ack_batch_latency
1937,0.46238532,append_submit_to_ack_batch_latency
1937,0.46422018,append_submit_to_ack_batch_latency
1937,0.46605505,append_submit_to_ack_batch_latency
1937,0.46788991,append_submit_to_ack_batch_latency
1937,0.46972477,append_submit_to_ack_batch_latency
1938,0.47155963,append_submit_to_ack_batch_latency
1938,0.47339450,append_submit_to_ack_batch_latency
1938,0.47522936,append_submit_to_ack_batch_latency
1938,0.47706422,append_submit_to_ack_batch_latency
1938,0.47889908,append_submit_to_ack_batch_latency
1938,0.48073394,append_submit_to_ack_batch_latency
1939,0.48256881,append_submit_to_ack_batch_latency
1939,0.48440367,append_submit_to_ack_batch_latency
1939,0.48623853,append_submit_to_ack_batch_latency
1939,0.48807339,append_submit_to_ack_batch_latency
1939,0.48990826,append_submit_to_ack_batch_latency
1939,0.49174312,append_submit_to_ack_batch_latency
1939,0.49357798,append_submit_to_ack_batch_latency
1940,0.49541284,append_submit_to_ack_batch_latency
1940,0.49724771,append_submit_to_ack_batch_latency
1940,0.49908257,append_submit_to_ack_batch_latency
1941,0.50091743,append_submit_to_ack_batch_latency
1941,0.50275229,append_submit_to_ack_batch_latency
1941,0.50458716,append_submit_to_ack_batch_latency
1941,0.50642202,append_submit_to_ack_batch_latency
1941,0.50825688,append_submit_to_ack_batch_latency
1942,0.51009174,append_submit_to_ack_batch_latency
1942,0.51192661,append_submit_to_ack_batch_latency
1942,0.51376147,append_submit_to_ack_batch_latency
1943,0.51559633,append_submit_to_ack_batch_latency
1943,0.51743119,append_submit_to_ack_batch_latency
1943,0.51926606,append_submit_to_ack_batch_latency
1944,0.52110092,append_submit_to_ack_batch_latency
1944,0.52293578,append_submit_to_ack_batch_latency
1945,0.52477064,append_submit_to_ack_batch_latency
1945,0.52660550,append_submit_to_ack_batch_latency
1945,0.52844037,append_submit_to_ack_batch_latency
1945,0.53027523,append_submit_to_ack_batch_latency
1946,0.53211009,append_submit_to_ack_batch_latency
1947,0.53394495,append_submit_to_ack_batch_latency
1947,0.53577982,append_submit_to_ack_batch_latency
1948,0.53761468,append_submit_to_ack_batch_latency
1948,0.53944954,append_submit_to_ack_batch_latency
1948,0.54128440,append_submit_to_ack_batch_latency
1949,0.54311927,append_submit_to_ack_batch_latency
1949,0.54495413,append_submit_to_ack_batch_latency
1949,0.54678899,append_submit_to_ack_batch_latency
1950,0.54862385,append_submit_to_ack_batch_latency
1953,0.55045872,append_submit_to_ack_batch_latency
1954,0.55229358,append_submit_to_ack_batch_latency
1954,0.55412844,append_submit_to_ack_batch_latency
1954,0.55596330,append_submit_to_ack_batch_latency
1955,0.55779817,append_submit_to_ack_batch_latency
1957,0.55963303,append_submit_to_ack_batch_latency
1958,0.56146789,append_submit_to_ack_batch_latency
1959,0.56330275,append_submit_to_ack_batch_latency
1960,0.56513761,append_submit_to_ack_batch_latency
1968,0.56697248,append_submit_to_ack_batch_latency
1993,0.56880734,append_submit_to_ack_batch_latency
1996,0.57064220,append_submit_to_ack_batch_latency
1997,0.57247706,append_submit_to_ack_batch_latency
1998,0.57431193,append_submit_to_ack_batch_latency
2001,0.57614679,append_submit_to_ack_batch_latency
2002,0.57798165,append_submit_to_ack_batch_latency
2002,0.57981651,append_submit_to_ack_batch_latency
2004,0.58165138,append_submit_to_ack_batch_latency
2004,0.58348624,append_submit_to_ack_batch_latency
2004,0.58532110,append_submit_to_ack_batch_latency
2005,0.58715596,append_submit_to_ack_batch_latency
2006,0.58899083,append_submit_to_ack_batch_latency
2006,0.59082569,append_submit_to_ack_batch_latency
2006,0.59266055,append_submit_to_ack_batch_latency
2007,0.59449541,append_submit_to_ack_batch_latency
2007,0.59633028,append_submit_to_ack_batch_latency
2008,0.59816514,append_submit_to_ack_batch_latency
2008,0.60000000,append_submit_to_ack_batch_latency
2008,0.60183486,append_submit_to_ack_batch_latency
2009,0.60366972,append_submit_to_ack_batch_latency
