message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
65536,10737418240,4,2,0,2,0,1,0,0,7822.93,0,0
65536,10737418240,4,2,0,2,0,1,0,0,7842.5,0,0
65536,10737418240,4,2,0,2,0,1,0,0,8327.61,0,0
65536,10737418240,4,2,0,3,0,1,0,0,6844.6,0,0
65536,10737418240,4,2,0,3,0,1,0,0,5947.55,0,0
65536,10737418240,4,2,0,3,0,1,0,0,5296.83,0,0
65536,10737418240,4,2,0,3,0,1,0,0,4998.03,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10285.1,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10258.7,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10269.5,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10381.6,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10146,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7608.73,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7986.92,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7873.5,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,8039.4,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7862.63,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,5290.77,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,6152.96,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,4822.6,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,5115.55,0,0
128,10737418240,4,0,0,2,0,1,0,0,3473.7,0,0
128,10737418240,4,0,0,2,0,1,0,0,2861.81,0,0
128,10737418240,4,0,0,2,0,1,0,0,2882.1,0,0
128,10737418240,4,0,0,2,0,1,0,0,2157.32,0,0
128,10737418240,4,0,0,2,0,1,0,0,1998.73,0,0
512,10737418240,4,0,0,2,0,1,0,0,4408.53,0,0
512,10737418240,4,0,0,2,0,1,0,0,4487.25,0,0
512,10737418240,4,0,0,2,0,1,0,0,5876.17,0,0
512,10737418240,4,0,0,2,0,1,0,0,5750.53,0,0
512,10737418240,4,0,0,2,0,1,0,0,6166.89,0,0
1024,10737418240,4,0,0,2,0,1,0,0,4538.16,0,0
1024,10737418240,4,0,0,2,0,1,0,0,7153.57,0,0
1024,10737418240,4,0,0,2,0,1,0,0,6346.17,0,0
1024,10737418240,4,0,0,2,0,1,0,0,7004.68,0,0
1024,10737418240,4,0,0,2,0,1,0,0,6822.12,0,0
4096,10737418240,4,0,0,2,0,1,0,0,7033.61,0,0
4096,10737418240,4,0,0,2,0,1,0,0,6551.42,0,0
4096,10737418240,4,0,0,2,0,1,0,0,6338.94,0,0
4096,10737418240,4,0,0,2,0,1,0,0,6750.26,0,0
4096,10737418240,4,0,0,2,0,1,0,0,6151.08,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7314.29,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7016.13,0,0
65536,10737418240,4,0,0,2,0,1,0,0,6955.45,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7357.41,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7075.16,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,6981.62,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7014.3,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7129.05,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,6254.98,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7199.48,0,0
128,10737418240,4,0,0,2,0,1,0,0,3147.55,0,0
128,10737418240,4,0,0,2,0,1,0,0,2596.36,0,0
128,10737418240,4,0,0,2,0,1,0,0,2818.14,0,0
128,10737418240,4,0,0,2,0,1,0,0,2277.25,0,0
128,10737418240,4,0,0,2,0,1,0,0,2757.06,0,0
512,10737418240,4,0,0,2,0,1,0,0,4939.05,0,0
512,10737418240,4,0,0,2,0,1,0,0,5742.27,0,0
512,10737418240,4,0,0,2,0,1,0,0,6228.83,0,0
512,10737418240,4,0,0,2,0,1,0,0,5828.66,0,0
