Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,280.853,5,281,718,755,755,545
append_send_to_ack,280.853,5,281,718,755,755,545
append_send_to_deliver,796849,2445,918563,2.19497e+06,2.19609e+06,2.19632e+06,4194395
monotonic_ordered_le_ack_le_deliver,,,,,,,1
