Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,287.501,0,277,791,852,852,545
append_send_to_ack,287.501,0,277,791,852,852,545
append_send_to_deliver,1.01652e+06,2355,1.28004e+06,2.47062e+06,2.57172e+06,2.57294e+06,4207103
monotonic_ordered_le_ack_le_deliver,,,,,,,1
