Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,262.701,1,223,779,1143,1143,545
append_send_to_ack,262.701,1,223,779,1143,1143,545
append_send_to_deliver,829575,2372,991976,2.17067e+06,2.17269e+06,2.17294e+06,4237251
monotonic_ordered_le_ack_le_deliver,,,,,,,1
