message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandiwdthMBps,subBandiwdthMBps,e2eBandiwdthMBps
1024,10737418240,4,0,1,0,0,1,0,0.2,10836.2,9084.32,0
1024,10737418240,4,0,1,0,0,1,0,0.2,9896.14,11832.9,0
1024,10737418240,4,0,1,0,0,1,0,0.2,9521.79,12292.6,0
4096,10737418240,4,0,1,0,0,1,0,0.2,12625.6,13353,0
4096,10737418240,4,0,1,0,0,1,0,0.2,12852.5,14885.3,0
4096,10737418240,4,0,1,0,0,1,0,0.2,13754.5,15291,0
4096,10737418240,4,0,1,0,0,1,0,0.2,12791,13941.4,0
4096,10737418240,4,0,1,0,0,1,0,0.2,12470.2,13814.4,0
65536,10737418240,4,0,1,0,0,1,0,0.2,14118,12850.3,0
65536,10737418240,4,0,1,0,0,1,0,0.2,14297.7,13836.3,0
65536,10737418240,4,0,1,0,0,1,0,0.2,13349.2,12657.9,0
65536,10737418240,4,0,1,0,0,1,0,0.2,14404.9,13747.7,0
65536,10737418240,4,0,1,0,0,1,0,0.2,13981.3,14612.9,0
1048576,10737418240,4,0,1,0,0,1,0,0.2,14675.6,15526.4,0
1048576,10737418240,4,0,1,0,0,1,0,0.2,14775.5,15748,0
1048576,10737418240,4,0,1,0,0,1,0,0.2,14359,10805.6,0
1048576,10737418240,4,0,1,0,0,1,0,0.2,14888,15285.4,0
1048576,10737418240,4,0,1,0,0,1,0,0.2,14524.2,10517.7,0
128,10737418240,4,0,0,0,0,1,0,0,EMBARCADERO,2180.3,7275.07,0
