Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,285.07,0,267,860,974,974,545
append_send_to_ack,285.07,0,267,860,974,974,545
append_send_to_deliver,1.12515e+06,2236,1.40642e+06,2.77348e+06,2.79211e+06,2.7939e+06,4213574
monotonic_ordered_le_ack_le_deliver,,,,,,,1
