Latency_us,CumulativeProbability,Metric
1115,0.00183486,append_submit_to_ack_batch_latency
1117,0.00366972,append_submit_to_ack_batch_latency
1117,0.00550459,append_submit_to_ack_batch_latency
1119,0.00733945,append_submit_to_ack_batch_latency
1121,0.00917431,append_submit_to_ack_batch_latency
1136,0.01100917,append_submit_to_ack_batch_latency
1143,0.01284404,append_submit_to_ack_batch_latency
1144,0.01467890,append_submit_to_ack_batch_latency
1147,0.01651376,append_submit_to_ack_batch_latency
1153,0.01834862,append_submit_to_ack_batch_latency
1158,0.02018349,append_submit_to_ack_batch_latency
1161,0.02201835,append_submit_to_ack_batch_latency
1161,0.02385321,append_submit_to_ack_batch_latency
1161,0.02568807,append_submit_to_ack_batch_latency
1162,0.02752294,append_submit_to_ack_batch_latency
1163,0.02935780,append_submit_to_ack_batch_latency
1164,0.03119266,append_submit_to_ack_batch_latency
1165,0.03302752,append_submit_to_ack_batch_latency
1167,0.03486239,append_submit_to_ack_batch_latency
1168,0.03669725,append_submit_to_ack_batch_latency
1169,0.03853211,append_submit_to_ack_batch_latency
1169,0.04036697,append_submit_to_ack_batch_latency
1169,0.04220183,append_submit_to_ack_batch_latency
1170,0.04403670,append_submit_to_ack_batch_latency
1172,0.04587156,append_submit_to_ack_batch_latency
1172,0.04770642,append_submit_to_ack_batch_latency
1173,0.04954128,append_submit_to_ack_batch_latency
1173,0.05137615,append_submit_to_ack_batch_latency
1174,0.05321101,append_submit_to_ack_batch_latency
1174,0.05504587,append_submit_to_ack_batch_latency
1175,0.05688073,append_submit_to_ack_batch_latency
1176,0.05871560,append_submit_to_ack_batch_latency
1178,0.06055046,append_submit_to_ack_batch_latency
1178,0.06238532,append_submit_to_ack_batch_latency
1179,0.06422018,append_submit_to_ack_batch_latency
1180,0.06605505,append_submit_to_ack_batch_latency
1181,0.06788991,append_submit_to_ack_batch_latency
1182,0.06972477,append_submit_to_ack_batch_latency
1183,0.07155963,append_submit_to_ack_batch_latency
1183,0.07339450,append_submit_to_ack_batch_latency
1183,0.07522936,append_submit_to_ack_batch_latency
1183,0.07706422,append_submit_to_ack_batch_latency
1185,0.07889908,append_submit_to_ack_batch_latency
1186,0.08073394,append_submit_to_ack_batch_latency
1187,0.08256881,append_submit_to_ack_batch_latency
1188,0.08440367,append_submit_to_ack_batch_latency
1188,0.08623853,append_submit_to_ack_batch_latency
1188,0.08807339,append_submit_to_ack_batch_latency
1188,0.08990826,append_submit_to_ack_batch_latency
1188,0.09174312,append_submit_to_ack_batch_latency
1189,0.09357798,append_submit_to_ack_batch_latency
1189,0.09541284,append_submit_to_ack_batch_latency
1190,0.09724771,append_submit_to_ack_batch_latency
1190,0.09908257,append_submit_to_ack_batch_latency
1190,0.10091743,append_submit_to_ack_batch_latency
1191,0.10275229,append_submit_to_ack_batch_latency
1191,0.10458716,append_submit_to_ack_batch_latency
1192,0.10642202,append_submit_to_ack_batch_latency
1193,0.10825688,append_submit_to_ack_batch_latency
1193,0.11009174,append_submit_to_ack_batch_latency
1193,0.11192661,append_submit_to_ack_batch_latency
1193,0.11376147,append_submit_to_ack_batch_latency
1194,0.11559633,append_submit_to_ack_batch_latency
1194,0.11743119,append_submit_to_ack_batch_latency
1196,0.11926606,append_submit_to_ack_batch_latency
1196,0.12110092,append_submit_to_ack_batch_latency
1196,0.12293578,append_submit_to_ack_batch_latency
1197,0.12477064,append_submit_to_ack_batch_latency
1198,0.12660550,append_submit_to_ack_batch_latency
1198,0.12844037,append_submit_to_ack_batch_latency
1199,0.13027523,append_submit_to_ack_batch_latency
1199,0.13211009,append_submit_to_ack_batch_latency
1199,0.13394495,append_submit_to_ack_batch_latency
1199,0.13577982,append_submit_to_ack_batch_latency
1200,0.13761468,append_submit_to_ack_batch_latency
1200,0.13944954,append_submit_to_ack_batch_latency
1201,0.14128440,append_submit_to_ack_batch_latency
1201,0.14311927,append_submit_to_ack_batch_latency
1201,0.14495413,append_submit_to_ack_batch_latency
1202,0.14678899,append_submit_to_ack_batch_latency
1202,0.14862385,append_submit_to_ack_batch_latency
1203,0.15045872,append_submit_to_ack_batch_latency
1204,0.15229358,append_submit_to_ack_batch_latency
1205,0.15412844,append_submit_to_ack_batch_latency
1205,0.15596330,append_submit_to_ack_batch_latency
1205,0.15779817,append_submit_to_ack_batch_latency
1205,0.15963303,append_submit_to_ack_batch_latency
1206,0.16146789,append_submit_to_ack_batch_latency
1207,0.16330275,append_submit_to_ack_batch_latency
1207,0.16513761,append_submit_to_ack_batch_latency
1207,0.16697248,append_submit_to_ack_batch_latency
1208,0.16880734,append_submit_to_ack_batch_latency
1209,0.17064220,append_submit_to_ack_batch_latency
1209,0.17247706,append_submit_to_ack_batch_latency
1209,0.17431193,append_submit_to_ack_batch_latency
1209,0.17614679,append_submit_to_ack_batch_latency
1210,0.17798165,append_submit_to_ack_batch_latency
1210,0.17981651,append_submit_to_ack_batch_latency
1210,0.18165138,append_submit_to_ack_batch_latency
1211,0.18348624,append_submit_to_ack_batch_latency
1212,0.18532110,append_submit_to_ack_batch_latency
1212,0.18715596,append_submit_to_ack_batch_latency
1212,0.18899083,append_submit_to_ack_batch_latency
1213,0.19082569,append_submit_to_ack_batch_latency
1213,0.19266055,append_submit_to_ack_batch_latency
1214,0.19449541,append_submit_to_ack_batch_latency
1214,0.19633028,append_submit_to_ack_batch_latency
1214,0.19816514,append_submit_to_ack_batch_latency
1215,0.20000000,append_submit_to_ack_batch_latency
1215,0.20183486,append_submit_to_ack_batch_latency
1216,0.20366972,append_submit_to_ack_batch_latency
1216,0.20550459,append_submit_to_ack_batch_latency
1216,0.20733945,append_submit_to_ack_batch_latency
1216,0.20917431,append_submit_to_ack_batch_latency
1216,0.21100917,append_submit_to_ack_batch_latency
1216,0.21284404,append_submit_to_ack_batch_latency
1217,0.21467890,append_submit_to_ack_batch_latency
1217,0.21651376,append_submit_to_ack_batch_latency
1217,0.21834862,append_submit_to_ack_batch_latency
1218,0.22018349,append_submit_to_ack_batch_latency
1218,0.22201835,append_submit_to_ack_batch_latency
1218,0.22385321,append_submit_to_ack_batch_latency
1218,0.22568807,append_submit_to_ack_batch_latency
1219,0.22752294,append_submit_to_ack_batch_latency
1219,0.22935780,append_submit_to_ack_batch_latency
1219,0.23119266,append_submit_to_ack_batch_latency
1219,0.23302752,append_submit_to_ack_batch_latency
1219,0.23486239,append_submit_to_ack_batch_latency
1221,0.23669725,append_submit_to_ack_batch_latency
1221,0.23853211,append_submit_to_ack_batch_latency
1222,0.24036697,append_submit_to_ack_batch_latency
1222,0.24220183,append_submit_to_ack_batch_latency
1223,0.24403670,append_submit_to_ack_batch_latency
1223,0.24587156,append_submit_to_ack_batch_latency
1223,0.24770642,append_submit_to_ack_batch_latency
1223,0.24954128,append_submit_to_ack_batch_latency
1226,0.25137615,append_submit_to_ack_batch_latency
1226,0.25321101,append_submit_to_ack_batch_latency
1227,0.25504587,append_submit_to_ack_batch_latency
1229,0.25688073,append_submit_to_ack_batch_latency
1230,0.25871560,append_submit_to_ack_batch_latency
1230,0.26055046,append_submit_to_ack_batch_latency
1232,0.26238532,append_submit_to_ack_batch_latency
1232,0.26422018,append_submit_to_ack_batch_latency
1234,0.26605505,append_submit_to_ack_batch_latency
1234,0.26788991,append_submit_to_ack_batch_latency
1235,0.26972477,append_submit_to_ack_batch_latency
1236,0.27155963,append_submit_to_ack_batch_latency
1238,0.27339450,append_submit_to_ack_batch_latency
1238,0.27522936,append_submit_to_ack_batch_latency
1238,0.27706422,append_submit_to_ack_batch_latency
1240,0.27889908,append_submit_to_ack_batch_latency
1241,0.28073394,append_submit_to_ack_batch_latency
1247,0.28256881,append_submit_to_ack_batch_latency
1247,0.28440367,append_submit_to_ack_batch_latency
1252,0.28623853,append_submit_to_ack_batch_latency
1252,0.28807339,append_submit_to_ack_batch_latency
1257,0.28990826,append_submit_to_ack_batch_latency
1258,0.29174312,append_submit_to_ack_batch_latency
1268,0.29357798,append_submit_to_ack_batch_latency
1271,0.29541284,append_submit_to_ack_batch_latency
1276,0.29724771,append_submit_to_ack_batch_latency
1283,0.29908257,append_submit_to_ack_batch_latency
1284,0.30091743,append_submit_to_ack_batch_latency
1284,0.30275229,append_submit_to_ack_batch_latency
1286,0.30458716,append_submit_to_ack_batch_latency
1287,0.30642202,append_submit_to_ack_batch_latency
1289,0.30825688,append_submit_to_ack_batch_latency
1289,0.31009174,append_submit_to_ack_batch_latency
1290,0.31192661,append_submit_to_ack_batch_latency
1292,0.31376147,append_submit_to_ack_batch_latency
1293,0.31559633,append_submit_to_ack_batch_latency
1293,0.31743119,append_submit_to_ack_batch_latency
1295,0.31926606,append_submit_to_ack_batch_latency
1295,0.32110092,append_submit_to_ack_batch_latency
