Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,289.499,3,247,858,4951,4951,545
append_send_to_ack,289.499,3,247,858,4951,4951,545
append_send_to_deliver,791534,5123,905569,2.22424e+06,2.35062e+06,2.35122e+06,4207888
monotonic_ordered_le_ack_le_deliver,,,,,,,1
