publish,susbscribe,E2EPub,E2E
9375.34,7491.42,10240,10240
9230.00,8478.67,10240,10240
97706.3,12895.2,10240,10240
8689.71,9781.46,10240,10240
9362.92, 7594.71,10240,10240
