batch_size,throughput_ops_per_sec,latency_ms
1,2.05091e+06,0.00048761
2,2.4713e+06,0.000809297
4,2.74868e+06,0.00145533
8,2.94216e+06,0.00271911
16,3.04908e+06,0.00524748
32,3.17057e+06,0.0100929
64,3.24486e+06,0.0197223
128,3.41189e+06,0.0375093
