TimestampNs,Topic,BrokerId,Order,FifoViolations,AckOrderViolations,SkippedBatches,ScannerTimeoutSkips,HoldTimeoutSkips,HoldBufferForcedSkips,StaleEpochSkips
4431382518428897,TestTopic,1,5,0,0,0,0,0,0,0
4431545453108782,TestTopic,1,5,0,0,0,0,0,0,0
4431709457985714,TestTopic,1,5,0,0,0,0,0,0,0
4431874524874328,TestTopic,1,5,0,0,0,0,0,0,0
4432125551444727,TestTopic,1,5,0,0,0,0,0,0,0
4432205467567325,TestTopic,1,5,0,0,0,0,0,0,0
4432285335314506,TestTopic,1,5,0,0,0,0,0,0,0
4432365373252446,TestTopic,1,5,0,0,0,0,0,0,0
4432444429055420,TestTopic,1,5,0,0,0,0,0,0,0
4432522394321994,TestTopic,1,5,0,0,0,0,0,0,0
4432592377423389,TestTopic,1,5,0,0,0,0,0,0,0
4432662324325132,TestTopic,1,5,0,0,0,0,0,0,0
4432733270952974,TestTopic,1,5,0,0,0,0,0,0,0
4432807514110646,TestTopic,1,5,0,0,0,0,0,0,0
4432881348782059,TestTopic,1,5,0,0,0,0,0,0,0
4432952412419500,TestTopic,1,5,0,0,0,0,0,0,0
4433020433585280,TestTopic,1,5,0,0,0,0,0,0,0
4433087419063191,TestTopic,1,5,0,0,0,0,0,0,0
4433158404061984,TestTopic,1,5,0,0,0,0,0,0,0
