TimestampNs,Topic,BrokerId,Order,FifoViolations,AckOrderViolations,SkippedBatches,ScannerTimeoutSkips,HoldTimeoutSkips,HoldBufferForcedSkips,StaleEpochSkips
4431382499585632,TestTopic,3,5,0,0,0,0,0,0,0
4431545331820279,TestTopic,3,5,0,0,0,0,0,0,0
4431709443288453,TestTopic,3,5,0,0,0,0,0,0,0
4431874525070621,TestTopic,3,5,0,0,0,0,0,0,0
4432038534942194,TestTopic,3,5,0,0,0,0,0,0,0
4432125549513853,TestTopic,3,5,0,0,0,0,0,0,0
4432205469151273,TestTopic,3,5,0,0,0,0,0,0,0
4432285335159173,TestTopic,3,5,0,0,0,0,0,0,0
4432365371313001,TestTopic,3,5,0,0,0,0,0,0,0
4432444438360165,TestTopic,3,5,0,0,0,0,0,0,0
4432522293325662,TestTopic,3,5,0,0,0,0,0,0,0
4432592378861404,TestTopic,3,5,0,0,0,0,0,0,0
4432662324294362,TestTopic,3,5,0,0,0,0,0,0,0
4432733270833972,TestTopic,3,5,0,0,0,0,0,0,0
4432807414415857,TestTopic,3,5,0,0,0,0,0,0,0
4432881395959917,TestTopic,3,5,0,0,0,0,0,0,0
4432952458183982,TestTopic,3,5,0,0,0,0,0,0,0
4433020387067344,TestTopic,3,5,0,0,0,0,0,0,0
4433087370394246,TestTopic,3,5,0,0,0,0,0,0,0
4433158351927727,TestTopic,3,5,0,0,0,0,0,0,0
