TimestampNs,Topic,BrokerId,Order,FifoViolations,AckOrderViolations,SkippedBatches,ScannerTimeoutSkips,HoldTimeoutSkips,HoldBufferForcedSkips,StaleEpochSkips
4431382416461597,TestTopic,2,5,0,0,0,0,0,0,0
4431545449144041,TestTopic,2,5,0,0,0,0,0,0,0
4431709469311865,TestTopic,2,5,0,0,0,0,0,0,0
4431874535362294,TestTopic,2,5,0,0,0,0,0,0,0
4432038535891711,TestTopic,2,5,0,0,0,0,0,0,0
4432125539119328,TestTopic,2,5,0,0,0,0,0,0,0
4432205467521525,TestTopic,2,5,0,0,0,0,0,0,0
4432285440926460,TestTopic,2,5,0,0,0,0,0,0,0
4432365373871647,TestTopic,2,5,0,0,0,0,0,0,0
4432444441281277,TestTopic,2,5,0,0,0,0,0,0,0
4432522285097556,TestTopic,2,5,0,0,0,0,0,0,0
4432592382167213,TestTopic,2,5,0,0,0,0,0,0,0
4432662421960284,TestTopic,2,5,0,0,0,0,0,0,0
4432733319537396,TestTopic,2,5,0,0,0,0,0,0,0
4432807412465502,TestTopic,2,5,0,0,0,0,0,0,0
4432881295021566,TestTopic,2,5,0,0,0,0,0,0,0
4432952453070160,TestTopic,2,5,0,0,0,0,0,0,0
4433020435041466,TestTopic,2,5,0,0,0,0,0,0,0
4433087419055241,TestTopic,2,5,0,0,0,0,0,0,0
4433158404069334,TestTopic,2,5,0,0,0,0,0,0,0
