Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,426438,3697,249220,1.25738e+06,1.25842e+06,1.25842e+06,169
append_send_to_ack,426438,3697,249220,1.25738e+06,1.25842e+06,1.25842e+06,169
append_send_to_deliver,448498,3873,262905,1.26882e+06,1.27816e+06,1.28013e+06,262144
monotonic_ordered_le_ack_le_deliver,,,,,,,1
