Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,284.191,3,263,904,3856,3856,545
append_send_to_ack,284.191,3,263,904,3856,3856,545
append_send_to_deliver,1.01055e+06,2358,1.27543e+06,2.46846e+06,2.56301e+06,2.56459e+06,4194575
monotonic_ordered_le_ack_le_deliver,,,,,,,1
