Stage,Average,Min,p50,p99,p999,Max,Count
append_send_to_ordered,423.409,17,402,931,958,958,137
append_send_to_ack,423.409,17,402,931,958,958,137
append_send_to_deliver,162331,2565,152084,346672,346824,346860,1048576
monotonic_ordered_le_ack_le_deliver,,,,,,,1
